,At December 31,At December 31
,2021,2020
Upstream,"41,870","42,431"
United States,$,$
International,"138,157","144,476"
Goodwill,"4,385","4,402"
Total Upstream,"184,412","191,309"
Downstream,,
United States,"26,376","23,490"
International,"18,848","16,096"
Total Downstream,"45,224","39,586"
Total Segment Assets,"229,636","230,895"
All Other,,
United States,"5,746","4,017"
International,"4,153","4,878"
Total All Other,9.899,"8,895"
Total Assets - United States,"73,992","69,938"
Total Assets - International,"161,158","165,450"
Goodwill,"4,385","4,402"
Total Assets,"$ 239,535","$ 239,790"
