$,Year ended December 31,Year ended December 31,Year ended December 31
$,2021,2020,2019
"Additions to properties, plant and equipment","7,515","$ 8,492 $","13,839"
Additions to investments,460,136,140
Current-year dry hole expenditures,83,327,124
"Payments for other assets and liabilities, net",(2),(33),13
Capital expenditures,"8,056","8,922","14,116"
Expensed exploration expenditures,431,500,598
Assets acquired through finance leases and other obligations,64,53,181
"Payments for other assets and liabilities, net",2,42,(13)
"Capital and exploratory expenditures, excluding equity affiliates","8,553","9,517","14,882"
Company's share of expenditures by equity affiliates,"3,167","3,982","6,112"
"Capital and exploratory expenditures, including equity affiliates","11,720","$ 13,499$","20,994"
