Millions of barrels,,,,,,,,,,Affiliated Companies,Affiliated Companies,Affiliated Companies,Total Consolidated
Millions of barrels,,Other U.S.Americas1,Africa,Asia AustraliaEurope,,,Synthetic Oil,Synthetic Oil,TCO,TCO,Synthetic Oil Other,and Affiliated,Total Consolidated
"Reserves at January 1, 2019","1,874",341,678,579,156,146,545,"Total 4,319","1,504",,127,67,"Companies 6,017"
Changes attributable to:,,,,,,,,,,,,,
Revisions,(153),(25),42,19,,25,6,14,(72),75,(126),105,(18)
Improved recovery,7,,,,,,,,7,,,,7
Extensions and discoveries,394,39,1,,,1,2,,438,,,,438
Purchases,19,2,,,,,,,21,,,,21
Sales,1,(4),,,,,(69),,（73),,,,(73)
Production,(213),(33),(108）,(86),,(16),(16),(19),(491),(106),(1),(13),(611)
"Reserves at December 31,20194","1,928",320,613,513,,166,,"540 4,149",,"1,473",,159,"5,781"
Changes attributable to:,,,,,,,69,,,,,,
Revisions,(279),(25),11,74,,(11),(4),77,(157),180,,(149),(126)
Improved recovery,1,1,,,,,,,2,,,,2
Extensions and discoveries,105,3,1,,,1,,,110,,,,110
Purchases,227,,21,10,,,,,258,,,,258
Sales,(11),,,(99),,,,,(110),,,,(110)
Production,(221),(39),(92),(95),,(15),(4),(20),(486),(103),,(7),(596)
"Reserves at December 31, 20204","1,750",260,554,403,,141,,"597 3,766",,"1,550",,3,"5,319"
Changes attributable to:,,,,,,,,,,,,,
Revisions,206,41,10,(8),,8,6,(106),157,(208),,2,(49)
Improved recovery,1,9,,,,,,,9,,,,9
Extensions and discoveries,349,16,,,,,,,365,,,,365
Purchases,26,一,,,,,,,28,,,,28
Sales,(32),,,(1),,,,,(33),,,,(33)
Production,(235),(38),(84),(74),,(15),(5),(20),(471),(92),,(1),(564)
"Reserves at December 31, 20214","2,064",288,480,322,,134,62,471,"3,821","1,250",,4,"5,075"
