Pension Benefits U.S.,Pension Benefits Int'l.,Pension Benefits U.S.,Pension Benefits Int'l.,Other Benefits 2021,Other Benefits 2020
Benefit obligation at January 1,"$15,166","$6,307","$14,465","$5,680","$2,650,$2,520"
Service cost,450,123,497,130,"43,38"
Interest cost,235,137,353,175,"53,71"
Plan participants' contributions,,3,,3,"43,59"
Actuarial (gain) loss,(-325),(-364),1,782,"550,(-108),191"
Foreign currency exchange rate changes,,(-85),,158,"(-3),(-1)"
Benefits paid,(-2,560),(-746),(-2,"045),(-368),(-189),(-214)"
Divestitures/Acquisitions,,,22,,","
Curtailment,,,92,(-21),"(-14),,"
Benefit obligation at December 31,12,966,5,351,"15,166,6,307,2,489,2,650"
Fair value of plan assets at January 1,9,930,5,363,"10,177,4,791,,,"
Actual return on plan assets,997,166,848,500,",,"
Foreign currency exchange rate changes,,,174,,","
Employer contributions,1,552,199,950,"263,146,155"
Plan participants' contributions,,,3,,"43,59"
Benefits paid,(-2,560),(-746),(-2,"045),(-368),(-189),(-214)"
Fair value of plan assets at December 31,9,919,4,950,"9,930,5,363,,,"
Funded status at December 31,$(-3,047),$(-401),$(-5,"236),$(-944),$(-2,489),$(-2,650)"
