2021,2020,2019,Income (loss) before income taxes
"$9,674","$(5,700)","$(5,483)",United States
"$11,965","$(1,753)","11,019",International
"21,639","$(7,453)","5,536",Total income (loss) before income taxes
"4,544","$(1,565)","1,163",Theoretical tax (at U.S. statutory rate of 21% )
,,3,Effect of U.S. tax reform
$(890),211,$(687),Equity affiliate accounting effect
"2,692",$(39),"2,196",Effect of income taxes from international operations
216,$(65),$(18),"State and local taxes on income, net of U.S. federal income tax benefit"
362,$(236),192,"Prior year tax adjustments, claims and settlements"
$(173),$(33),$(18),Tax credits
$(801),$(165),$(140),Other U.S. 
"5,950","$(1,892)","2,691",Total income tax expense (benefit)
27.5 %,25.4 %,48.6 %,Effective income tax rate
