,Year ended December 31,Year ended December 31,Year ended December 31,Year ended December 31
,2021,2020,,2019
Basic EPS Calculation,,,,
Earnings available to common stockholders - Basicl,"15,625",$,"(5,543) $",2.924
Weighted-average number of common shares outstanding2,"1,916",,"1,870","1,882"
Add: Deferred awards held as stock units,,,,
Total weighted-average number of common shares outstanding,"1,916 $",,"1,870","1,882"
Earnings per share of common stock - Basic Diluted EPS Calculation,8.15,$,(2.96) $,1.55
Earnings available to common stockholders - Dilutedl,"15,625",,"(5,543）$",
Weighted-average number of common shares outstanding,"1,916",$,"1,870",2.924
Add: Deferred awards held as stock units,1,,,"1,882"
Add: Dilutive effect of employee stock-based awards,4,,,
Total weighted-average number of common shares outstanding,"1,920",,"1,870",-B
Earnings per share of common stock - Diluted,$ 8.14,$,(2.96) $,"1,895 1.54"
