,,,,Treasury Stock (at cost),Chevron Corp. Stockholders' Equity,Noncontrolling Interests,Total Equity
,Common Stock1,Retained Earnings,Comprehensive Income (Loss),Treasury Stock (at cost),Chevron Corp. Stockholders' Equity,Noncontrolling Interests,Total Equity
"Balance at December 31, 2018","$ 18,704 $","180,987 $","(3,544) $","(41,593) $","154,554","$ 1,088","$ 155,642"
Treasury stock transactions,153,,,,153,,153
Net income (loss),,"2,924",,,"2,924",(79),"2,845"
Cash dividends ($4.76 per share),,"(8,959)",,,"(8,959)",(18),"(8,977)"
Stock dividends,,(3),,,(3),,(3)
Other comprehensive income,,,"(1,446)",,"(1,446)",,"(1,446)"
Purchases of treasury shares,,,,"(4,039)","(4,039)",,"(4,039)"
Issuances of treasury shares,,,,"1,033","1,033",,"1,033"
"Other changes, net",,(4),,,(4),4,
