,,Unrealized Currency Holding Gains Translation (Losses) on,Unrealized Currency Holding Gains Translation (Losses) on,Defined,Defined,Defined
,Adjustments $,,Securities,Derivatives,Benefit Plans,Total
"Balance at December 31,2018",,(124) $,(10),$ (2),"(3,408) $","(3,544)"
Components of Other Comprehensive Income (Loss):,,,2,,"(1,838)",
Before Reclassifications,,(18),,(1),,"(1,855)"
Reclassifications3,,丨 (18),2,3,406,"409 (1,446)"
"Net Other Comprehensive Income (Loss) Balance at December 31, 2019",$,$,,2,"(1,432) $",
Components of Other Comprehensive Income (Loss):,,(142),(8),$ 一,"$ (4,840)","(4,990)"
Before Reclassifications,,35,(2),,"(1,487)","(1,454)"
Reclassifications3,,1,,,832,832
Net Other Comprehensive Income (Loss),,35,(2),,(655),(622)
"Balance at December 31, 2020",$,(107) $,(10) $,,"(5,495) $","(5,612)"
Components of Other Comprehensive Income (Loss):,,,,,$,
Before Reclassifications,,(55),(1),(6),949,887
"Reclassifications2,3",,1,一,6,830,836
Net Other Comprehensive Income (Loss),,(55),(1),,"1,779","1,723"
"Balance at December 31, 2021",$,(162) $,(11),,"$ (3,716) $","(3,889)"
