Income Taxes,Year ended December 31,Year ended December 31,Year ended December 31
Income Taxes,2021,2020,2019
Income tax expense (benefit),,,
U.S. federal Current,,,
,174,$ (182)$,（73）
Deferred,"1,004","(1,315)","(1,074)"
State and local,,,
Current Deferred,222,65,153
,202,(152),(172)
Total United States,"1,602","(1,584)","(1,166)"
International,,,
Current,"4,854","1,833","4,577"
Deferred,(506),"(2,141)",(720)
Total International,"4,348",(308),"3,857"
Total income tax expense (benefit),"$ 5,950","$ (1,892) $","2,691"
