Pension Benefits,,,,
2021 U.S. Int'l. 2020 U.S. Int'l. 2019 U.S. Int'l.,,,,
Net Periodic Benefit Cost,,,,
Service cost $ 450 $ 123 $ 497 $ 130 $ 406 $,,,,139
Interest cost 235 137,353,175,397,199
Expected return on plan assets (596) (171),(650),(209),(565),(231)
Amortization of prior service costs (credits) 2 8,2,10,2,11
Recognized actuarial losses 309 46,385,45,239,21
Settlement losses 672 7,620,37,259,3
Curtailment losses (gains) — (1),92,2,—,16
"Total net periodic benefit cost 1,072 149","1,299",190,738,158
Changes Recognized in Comprehensive Income,,,,
Net actuarial (gain) loss during period (725) (408),"1,584",230,"1,939",338
Amortization of actuarial loss (981) (73),"(1,005)",(98),(498),(24)
Prior service (credits) costs during period — —,—,—,29,—
Amortization of prior service (costs) credits (2) (11),(2),(17),(2),(30)
"Total changes recognized in other comprehensive income (1,708) (492)",577,115,"1,439",313
"Recognized in Net Periodic Benefit Cost and Other Comprehensive Income $ (636) $ (343) $ 1,876 $ 305 $ 2,177 $",,,,471
Other Benefits,,,,
2021 2020 2019,,,,
Net Periodic Benefit Cost,,,,
Service cost $ 43 $ 38 $,,,,36
Interest cost,,53,71,96
Expected return on plan assets,,—,—,—
Amortization of prior service costs (credits),,(27),(28),(28)
Recognized actuarial losses,,16,3,(3)
Settlement losses,,—,—,—
Curtailment losses (gains),,(27),—,—
Total net periodic benefit cost,,85,57,101
Changes Recognized in Comprehensive Income,,,,
Net actuarial (gain) loss during period,,(111),190,128
Amortization of actuarial loss,,(15),(4),3
Prior service (credits) costs during period,,—,—,—
Amortization of prior service (costs) credits,,27,42,28
Total changes recognized in other comprehensive income,,(99),228,158
Recognized in Net Periodic Benefit Cost and Other Comprehensive Income $ (14) $ 285 $,,,,259
