"Year Ended December 31, 2021",Consolidated Companies,Affiliated Companies,U.S.,Other Americas,Africa,Asia,Australia,Europe,Total,TCO,Other
Exploration,Wells,$ 184,$ 31,$ 5,$ 36,,,$ 256,,,
Geological and geophysical,$ 67,$ 58,$ 40,,22,,,$ 187,,,
Other,$ 80,$ 80,$ 39,$ 14,$ 25,$ 1,$ 239,,,,
Total exploration,$ 331,$ 169,$ 84,$ 50,$ 47,$ 1,$ 682,,,,
Property acquisitions2,Proved - Other,$ 98,$ 15,$ 53,,,,$ 166,,,
Unproved - Other,,$ 13,$ 16,,,,,$ 29,,,
Total property acquisitions,,$ 111,$ 16,$ 15,$ 53,,,$ 195,,,
Development3,"$ 4,360",$ 640,$ 383,$ 545,$ 526,$ 44,"$ 6,498","$ 2,442",$ 27,,
Total Costs Incurred4,"$ 4,802",$ 825,$ 482,$ 648,$ 573,$ 45,"$ 7,375","$ 2,442",$ 27,,
"Year Ended December 31, 2020",Consolidated Companies,Affiliated Companies,U.S.,Other Americas,Africa,Asia,Australia,Europe,Total,TCO,Other
Exploration,Wells,$ 190,$ 181,$ 1,$ 8,$ 1,,$ 381,,,
Geological and geophysical,$ 83,$ 29,$ 58,$ 3,$ 12,,,$ 185,,,
Other,$ 125,$ 77,$ 42,$ 22,$ 39,$ 2,$ 307,,,,
Total exploration,$ 398,$ 287,$ 101,$ 33,$ 52,$ 2,$ 873,,,,
Property acquisitions2,Proved - Noble,"$ 3,463",$ 438,"$ 7,945",,,,"$ 11,846",,,
Proved - Other,,$ 23,$ 2,$ 56,,,,$ 81,,,
Unproved - Noble,"$ 2,845",2,$ 113,$ 129,,,,"$ 3,089",,,
Unproved - Other,$ 35,,$ 10,,,,,$ 45,,,
Total property acquisitions,,"$ 6,366",2,$ 563,"$ 8,130",,,"$ 15,061",,,
Development3,"$ 4,622",$ 740,$ 386,"$ 1,034",$ 753,$ 37,"$ 7,572","$ 2,998",$ 81,,
Total Costs Incurred4,"$ 11,386","$ 1,029","$ 1,050","$ 9,197",$ 805,$ 39,"$ 23,506","$ 2,998",$ 81,,
"Year Ended December 31, 2019",Consolidated Companies,Affiliated Companies,U.S.,Other Americas,Africa,Asia,Australia,Europe,Total,TCO,Other
Exploration,Wells,$ 571,$ 44,$ 9,$ 2,$ 4,,$ 634,,,
Geological and geophysical,$ 82,$ 118,$ 21,$ 5,$ 11,$ 1,$ 238,,,,
Other,$ 140,$ 52,$ 35,$ 29,$ 44,$ 6,$ 306,,8,,
Total exploration,$ 793,$ 214,$ 65,$ 36,$ 59,$ 11,"$ 1,178",,,,
Property acquisitions2,Proved,$ 81,$ 34,$ 93,,,,$ 208,,,
Unproved,$ 68,$ 150,,$ 17,$ 1,,,$ 236,,,
Total property acquisitions,,$ 149,$ 184,,$ 110,$ 1,,$ 444,,,
Development3,"$ 7,072","$ 1,216",$ 279,"$ 1,020",$ 518,$ 199,"$ 10,304","$ 5,112",$ 158,,
Total Costs Incurred4,"$ 8,014","$ 1,614",$ 344,"$ 1,166",$ 578,$ 210,"$ 11,926","$ 5,112",$ 166,,
