"Balance at December 31, 2019","$18,857","$174,945","$(4,990)","$(44,599)","$144,213",$995,"$145,208",84,一,84
Treasury stock transactions,,,,,84,,84,,,
Noble Acquisition^2,(520),,,"4,629","4,109",779,"4,888",,,
Net income (loss),,"$(5,543)",,,"$(5,543)",(18),"$(5,561)",,,
Cash dividends ($5.16 per share),,"$(9,651)",,,"$(9,651)",(24),"$(9,675)",,,
Stock dividends,,(5),,,(5),,(5),,,
Other comprehensive income,,,(622),(622),(622),,(622),,,
Purchases of treasury shares,,,,"$(1,757)","$(1,757)",,"$(1,757)",,,
Issuances of treasury shares,,,,,229,229,,229,,
"Other changes, net",,631,,,631,(694),(63),,,
