Equity,,,,
International,,,,
Fixed Income,,,,
Corporate,,,,
Bank Loans,,,,
Real Estate,,,,
Other,,,,
Total,,,,
Total at December,,,"31,",2019
$1,,,,
$3,,,,
$7,,,,
$55,,,,
$46,,,,
$112,,,,
Actual Return on Plan Assets:,,,,
Assets held at the reporting date,,,,
—,,,,
—,,,,
—,,,,
—,,,,
—,,,,
1,,,,
Assets sold during the period,,,,
—,,,,
—,,,,
—,,,,
—,,,,
(10),,,,
—,,,,
(10),,,,
"Purchases, Sales and Settlements",,,,
—,,,,
(3),,,,
(5),,,,
—,,,,
(2),,,,
(10),,,,
Transfers in and/or out of Level,,,,3
—,,,,
—,,,,
—,,,,
—,,,,
—,,,,
—,,,,
Total at December,,,"31,",2020
$1,,,,
$2,,,,
$45,,,,
$45,,,,
$93,,,,
Actual Return on Plan Assets:,,,,
Assets held at the reporting date,,,,
—,,,,
—,,,,
—,,,,
—,,,,
—,,,,
4,,,,
Assets sold during the period,,,,
—,,,,
—,,,,
—,,,,
—,,,,
(3),,,,
—,,,,
(3),,,,
"Purchases, Sales and Settlements",,,,
—,,,,
—,,,,
(2),,,,
—,,,,
4,,,,
2,,,,
Transfers in and/or out of Level,,,,3
—,,,,
—,,,,
—,,,,
—,,,,
108,,,,
108,,,,
Total at December,,,"31,",2021
$1,,,,
$42,,,,
$161,,,,
$204,,,,
