Common Stock Share Activity,Issued,Treasury,Outstanding
"Balance at December 31, 2018","2,442,676,580","-539,838,890","1,902,837,690"
Purchases,,"-33,955,300","33,955,300"
Issuances,,"13,285,711","13,285,711"
"Balance at December 31, 2019","2,442,676,580","-560,508,479","1,882,168,101"
Purchases,,"-17,577,457","17,577,457"
Issuances,,"60,595,673","60,595,673"
"Balance at December 31, 2020","2,442,676,580","-517,490,263","1,925,186,317"
Purchases,,"-13,015,737","13,015,737"
Issuances,,"17,635,477","17,635,477"
"Balance at December 31, 2021","2,442,676,580","-512,870,523","1,929,806,057"
