,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Affiliated Companies,Affiliated Companies,Total Consolidated and Affiliated
,,Other,,,,,,,,Total Consolidated and Affiliated
Billions of cubic feet (BCF),U.S.,Americas1,Africa,Asia,Australia,Europe,Total,TCO,Other²,Companies
"Reserves at January 1, 2019","6,709",863,"2,815","4,310","13,731",305,"28,733","1,934",909,"31,576"
Changes atributable to: Revisions,"(2,565)",(107),46,165,"1,732",3,(726),223,39,(464)
Improved recovery,一,,,,,,一,,,1
Extensions and discoveries,"1,008",49,,5,93,1,"1,156",,20,"1,176"
Purchases,24,一,,,,,24,,一,24
Sales,(1),(2),,,一,(240),(243),,一,(243)
Production,(447),(67),(103),(799),(898),(43),"(2,357)",(153),(102),"(2,612)"
"Reserves at December 31, 20194","4,728",736,"2,758","3,681","14,658",26,"26,587","2,004",866,"29,457"
Changes attributable to:,,,,,,,,,,
Revisions,(509),(178),(229),169,"(2,455)",(2),"(3,204)",162,138,"(2,904)"
Improved recovery,1,1,,,,,1,,,丨
Extensions and discoveries,385,8,2,,58,,453,,,453
Purchases,"1,548",,441,"5,350",,,"7,339",,,"7,339"
Sales,"(1,314)",(177),1,(264),,,"(1,755)",,,"(1,755)"
Production,(588),(60),(135),(753),(876),(2),"(2,414)",(148),(106),"(2,668)"
"Reserves at December 31, 20204","4,250",329,2.837,"8,183","11,385",22,"27,006",2.018,898,"29,922"
Changes attributable to:,,,,,,,,,,
Revisions,829,129,147,119,"1,181",1,"2,406",(179),82,2.309
Improved recovery,1,一,,,1,,一,,,1
Extensions and discoveries,"1,408",63,,,19,,"1,490",,,"1,490"
Purchases,44,一,,,1,,44,,,44
Sales Production³,(29),,,,(13),,(42),,,(42)
,(617),(66,(188),(829),(888),(2),"(2,590)",(138),(87),"(2,815)"
"Reserves at December 31, 20214","5.,885",455,"2,796","7,473","11,684",21,"28,314","1,701",893,"30,908"
