Year ended December 31,2021,2020,2019,Basic EPS Calculation,Earnings available to common stockholders - Basic
15625,5543,2924,,Weighted-average number of common shares outstanding,
1916,1870,1882,,Add: Deferred awards held as stock units,
,,,,,
Total weighted-average number of common shares outstanding,1916,1870,1882,Earnings per share of common stock - Basic,
8.15,2.96,1.55,,Diluted EPS Calculation,Earnings available to common stockholders - Diluted
15625,5543,2924,,Weighted-average number of common shares outstanding,
1916,1870,1882,,Add: Deferred awards held as stock units,
,,,,,
Add: Dilutive effect of employee stock-based awards,,4,,,13
Total weighted-average number of common shares outstanding,1920,1870,1895,Earnings per share of common stock - Diluted,
8.14,2.96,1.54,,,
