,,,,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Affiliated Companies,Affiliated Companies
,Other,Other,Other,,,,,,
Millions of dollars,U.S.Americas,,Africa,Asia,Australia,Europe,Total,TCO,Other
"Year Ended December 31,2019",,,,,,,,,
Revenues from net production,,,,,,,,,
Sales,"$ 2,259 $",863$,668$,"7,410 $","4,332 $",,"592 $16,124","5,603$",780
Transfers,"11,043","2,160","6,534","1,311","2,596",655,"24,299",,1
Total,"13,302","3,023","7,202","8,721","6,928","1,247","40,423","5,603",780
Production expenses excluding taxes,"(3,567)","(1,020)","(1,460)","(2,703)",(616),(343),"(9,709)",(475),(247)
Taxes other than on income,(595),(64),(101),(16),(221),(2),(999),(57),(10)
Proved producing properties:,,,,,,,,,
Depreciation and depletion,"(11,659)","(1,380)","(2,548)","(3,165)","(2,192)",(85),"(21,029)",(870),(211)
Accretion expense²,(191),(21),(148),(133),(53),(37),（583),(5),(8）
Exploration expenses,(293),(211),（73）,(93),(60),(10),（740),1,(8)
Unproved properties valuation,"(3,268)",(591),(2),(388),(2),1,"(4,251)",(4）,1
Other income (expense)³,(51),(44),(121),413,53,"1,373","1,623",1,(157)
Results before income taxes,"(6,322)",(308),"2,749",2.636,"3,837","2,143","4,735","4,193",139
Income tax (expense) benefit,"1,311",(27),"(1,731)","(1,212)","(1,161)",(311),"(3,131)","(1,261)",（73）
Results of Producing Operations,"$ (5,011) $",(335) $,"1,018 $","1,424 $","2,676$","1,832 $","1,604","$ 2,932 $",66
