2021,2020,2019,Income (loss) before income taxes
United States,"$ (5,700)","(5,483)",United States $
International,"(1,753)","11,019",International
Total income (loss) before income taxes,"(7,453)","5,536",Total income (los) before income taxes
Theoretical tax (at U.S. statutory rate of 21% ),"(1,565)","1,163",Theoretical tax (at U.S. statutory rate of 21% )
Effect of U.S. tax reform,1,3,
Equity affiliate accounting effect,211,(687),Equity affiliate accounting ffect
Effect of income taxes from international operations,(39),"2,196",Effect of income taxes from international operations
"State and local taxes on income, net of U.S. federal income tax benefit",(65),(18),
"Prior year tax adjustments, claims and settlements",(236),192,"Prior year tax adjustments, claims and settlements '"
Tax credits,(33),(18),Tax credits
Other U.S.,(165),(140),"Other U.S. 1,2"
Total income tax expense (benefit),"$5,950","2,691","Total income tax expense (benefit) $ 5,950"
Effective income tax rate,27.5 %,,48.6 %
