Financial highlights^1,2021,2020,2019
Net income (loss) attributable to Chevron Corporation,"$ 15,625","$ (5,543)","$ 2,924"
Sales and other operating revenues,"$ 155,606","$ 94,471","$ 139,865"
Cash flow from operating activities,"$ 29,187","$ 10,577","$ 27,314"
Capital and exploratory expenditures^2,"$ 11,720","$ 13,499","$ 20,994"
Total assets at year-end,"$ 239,535","$ 239,790","$ 237,428"
Total debt and finance lease obligations,"$ 31,369","$ 44,315","$ 26,973"
Chevron Corporation stockholders' equity at year-end,"$ 139,067","$ 131,688","$ 144,213"
Common shares outstanding at year-end (Thousands),"1,915,638","1,911,018","1,868,000"
Per-share data,Net income (loss) attributable to Chevron Corporation - diluted,$ 8.14,"$ (2.96),$ 1.54"
Cash dividends,$ 5.31,$ 5.16,$ 4.76
Chevron Corporation stockholders' equity,$ 72.60,$ 68.91,$ 77.20
Debt ratio^3,18.4%,25.2%,15.8%
Net debt ratio^3,15.6%,22.7%,12.8%
Return on stockholders' equity^3,11.5%,(4.0)%,2.0%
Return on average capital employed^3,9.4%,(2.8)%,2.0%
