Upstream,Year ended December 31 2019,Year ended December 31 2019,Year ended December 31 2019,Year ended December 31 2019
Upstream,2021 2020,2021 2020,2021 2020,2021 2020
Upstream,,,,
United States,"29,219 $",$,"14,577$","23,358"
International,"40,921",,26.804,"35,628"
Subtotal,"70,140",,"41,381","58,986"
Intersegment Elimination-United States,"(15,154)",,(8.068),"(14,944)"
Intersegment Elimination-International,"(10,994)",,"(7,002)","(12,335)"
Total Upstream,"43,992",,26.311,"31,707"
Downstream,,,,
United States,"57,209",,"32,589","55,271"
International,58.098,,38.936,"57,654"
Subtotal,"115,307",,"71,525","112,925"
Intersegment Elimination- United States,"(2,296)",,"(2,150)","(3,924)"
Intersegment Elimination- - International 一,"(1,521)",,"(1,292)","(1,089)"
Total Downstream,"111,490",,68.083,"107,912"
All Other,,,,
United States,506,,744,
International,,2,15,"1,064"
Subtotal,,508,759,20
Intersegment Elimination-United States,(382),,（667）,"1,084"
Intersegment Elimination一 - International,,2,(15）,(818）
Total All Other,,124,77,(20)
Sales and Other Operating Revenues,,,,246
United States,"86,934",,,
International,"99,021",,"47,910","79,693"
Subtotal,"185,955",,"65,755",93.302
Intersegment Elimination-United States,"(17,832)",,"113,665",172.995
Intersegment Elimination- International,"(12,517)",,"(10,885) (8.309)","(19,686)"
Total Sales and Other Operating Revenues,,,,"(13,444)"
,$,"155,606 $","94,471 $","139,865"
