,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Consolidated Companies,Affiliated Companies,Affiliated Companies,Total Consolidated and Affiliated
,,Other,,,,,,,,Total Consolidated and Affiliated
Millions of barrels,,U.S. Americas1,Africa,,AsiaAustralia Europe,,Total,TCO,Other,Companies
"Reserves at January1, 2019",528,22,98,,5,3,656,101,16,773
Changes attributable to:,,,,,,,,,,
Revisions,(120),(4),6,,,,(118),10,2,(106)
Improved recovery Extensions and discoveries,140,,,,,,,,,丨
,,,,,,,140,,,140
Purchases,5,,,,,,5,,,5
Sales Production,一,(2）,(4）,,,(2),(2),,,(2)
,(51),16,100,,(1),(1),(59),(8）,(3),(70)
"Reserves at December 31, 20193",502,,,,4,,622,103,15,740
Changes attributable to:,,(7),,,,,,,,
Revisions Improved recovery,(71),,(3),,,,(81),8,5,(68)
,一,1,,,,,,,,丨
Extensions and discoveries,60,,,,,,61,,,61
Purchases,198,,12,,,,210,,,210
Sales,(27),,,,,,(27),,,(27)
Production,(69),(2),(5),,,,(76),（9),(3）,(88)
"Reserves at December 31, 20203 Changes attributable to:",593,8,104,,4,,709,102,17,828
Revisions,,5,8,,,,,,,
,107,,,,,,120,(10),4,114
Improved recovery,1,,,,,,丨,,,1
Extensions and discoveries,190,4,,,,,194,,,194
Purchases,8,,,,,,8,,,8
Sales,(8),,,,,,(8),,,(8)
Production,（78),(2),6,,(1),,(87),(8),(3),(98)
"Reserves at December 31, 2021³",812,15,106,,3,,936,84,18,"1,038"
