```csv
"Consolidated","2021","2020","2019","Machinery, Energy & Transportation","2021","2020","2019","Financial Products","2021","2020","2019","Consolidating Adjustments","2021","2020","2019"
"Sales and revenues:","Sales of Machinery, Energy & Transportation","$ 48,188","$ 39,022","$ 50,755","$ 48,188","$ 39,022","$ 50,755","$ —","$ —","$ —","$ —","$ —","$ —","$ —"
"Revenues of Financial Products","2,783","2,726","3,045","—","—","—","3,172","3,110","3,571","—","—","—","—","—"
"Total sales and revenues","50,971","41,748","53,800","48,188","39,022","50,755","3,172","3,110","3,571","—","—","—","—","—"
"Operating costs:","Cost of goods sold","35,513","29,082","36,630","35,521","29,088","36,634","—","—","—","—","(8)","(6)","(4)"
"Selling, general and administrative expenses","5,365","4,642","5,162","4,724","3,915","4,444","654","746","737","—","—","(13)","(19)","(19)"
"Research and development expenses","1,686","1,415","1,693","1,686","1,415","1,693","—","—","—","—","—","—","—","—"
"Interest expense of Financial Products","455","589","754","—","—","—","455","591","786","—","—","(2)","(32)","(32)"
"Other operating (income) expenses","1,074","1,467","1,271","(106)","283","14","1,247","1,236","1,297","—","—","(67)","(52)","(40)"
"Total operating costs","44,093","37,195","45,510","41,825","34,701","42,785","2,356","2,573","2,820","—","—","(88)","(79)","(95)"
"Operating profit","6,878","4,553","8,290","6,363","4,321","7,970","816","537","751","—","—","(301)","(305)","(431)"
"Interest expense excluding Financial Products","488","514","421","488","513","429","—","—","—","—","—","—","—","(8)"
"Other income (expense)","1,814","(44)","(57)","2,276","(62)","(535)","87","32","80","—","—","(549)","(14)","398"
"Consolidated profit before taxes","8,204","3,995","7,812","8,151","3,746","7,006","903","569","831","—","—","(850)","(320)","(25)"
"Provision (benefit) for income taxes","1,742","1,006","1,746","1,517","853","1,512","225","153","234","—","—","—","—","—"
"Profit of consolidated companies","6,462","2,989","6,066","6,634","2,893","5,494","678","416","597","—","—","(850)","(320)","(25)"
"Equity in profit (loss) of unconsolidated affiliated companies","31","14","28","42","29","49","—","—","—","—","—","(11)","(15)","(21)"
"Profit of consolidated and affiliated companies","6,493","3,003","6,094","6,676","2,922","5,543","678","416","597","12","15","22","—","—"
"Less: Profit (loss) attributable to noncontrolling interests","4","5","1","3","5","—","12","15","22","—","—","(11)","(15)","(21)"
"Profit","$ 6,489","$ 2,998","$ 6,093","$ 6,673","$ 2,917","$ 5,543","$ 666","$ 401","$ 575","$ (850)","$ (320)","$ (25)","$ (850)","$ (320)","$ (25)"
```
