id,title,description ←,,fill,stroke
wd:Q912,Mali,This is a short description of Mali,,#6A5ACD,#6A5ACD
wd:Q916,Angola,This is a short description of Angola,,#6A5ACD,#6A5ACD
wd:Q79,Egypt,This is a short description of Egypt,,#6A5ACD,#6A5ACD
wd:Q114,Kenya,This is a short description of Kenya,,#1E90FF,#1E90FF
wd:Q924,Tanzania,This is a short description of Tanzania,,#4682B4,#4682B4
wd:Q115,Ethiopia,This is a short description of Ethiopia,,#6A5ACD,#6A5ACD
wd:Q117,Ghana,This is a short description of Ghana,,#87CEEB,#87CEEB
wd:Q929,Central African Republic,This is a short description of Central African Republic,,#1E90FF,#1E90FF
wd:Q948,Tunisia,This is a short description of Tunisia,,#87CEEB,#87CEEB
wd:Q262,Algeria,This is a short description of Algeria,,#4B0082,#4B0082
wd:Q945,Togo,This is a short description of Togo,,#BDEOE6,#BDEOE6
wd:Q953,Zambia,This is a short description of Zambia,,#1E90FF,#1E90FF
wd:Q258,South Africa,This is a short description of South Africa,,#6A5ACD,#6A5ACD
wd:Q657,Chad,This is a short description of Chad,,#6A5ACD,#6A5ACD
wd:Q954,Zimbabwe,This is a short description of Zimbabwe,,#6A5ACD,#6A5ACD
wd:Q958,South Sudan,This is a short description of South Sudan,,#87CEEB,#87CEEB
wd:Q962,Benin,This is a short description of Benin,,#87CEEB,#87CEEB
