File Name _,File Size,Date ⊥
Parent directory/,,
CommonsCateqoryDownloader/,,27-Sep-2019 15:24
SaveToWaybackMachine/,,09-0ct-2019 11:37
Smart-Servier/,,03-Sep-2019 17:35
Wikibase_Universal_Bot/,,05-Jul-2019 14:11
WikidataMapMakinqWorkshop/,,22-0ct-2019 13:05
node_modules/,,11-Jun-2019 13:31
DutchPublicLibraries_OpenStreetMap .ipynb,442444,07-Aug-2019 11:28
DutchPublicLibraries_GooqleMaps_Test.ipynb,18132,07-Aug-2019 11:02
UniversalBot.ipynb,555,05-Jul-2019 14:09
VariousTests.ipynb,8704,08-Jun-2019 14:33
