dpl →,dplLabel,dplDescription,dplLoc 鼻,dpllmag
Qwd:Q61785962,'s-Heerenberg public ibrary,"Public library in s-Heerenberg, municipality of Montferland, The Netherlands",Point(6.245488651.8731333),comr
Qwd:Q63677419,'t Harde public ibrary service point,"Public library in the village of t Harde, The Netherlands",Point(5.87791752.4172699),
Qwd:Q61915721,Aalsmeer public library,"Public library in Aalsmeer, The Netherlands",Point(4.749698752.2679063),
Qwd:Q59772713,Aalst public library,"Public library in Aalst, The Netherlands",Point(5.125978951.7841643),
Qwd:Q60499424,Abbekerk public library,"Public library in Abbekerk, municipality of Medemblik, The Netherlands",Point(5.016065952.7313345),
Qwd:Q63385185,Achterveld public library,"Public library in the vilage of Achterveld, municipalityofLeusden,TheNetherlands",Point(5.497365552.1365067),
Qwd:Q60020855,Aduard public library,"Public library in Aduard, province of Groningen, The Netherlands",Point(6.457013553.2599615),
Qwd:Q63890044,Akersloot public library,"Public library in Akersloot, The Netherlands",Point(4.732270452.5633782),comr(518264
Qwd:Q59871315,Alblasserdam public library,"Public library in Alblasserdam, The Netherlands",Point(4.6572351.86473),
Qwd:Q63890048,Alkmaar De Mare public library,"Public library in Alkmaar De Mare, The Netherlands",Point(4.758858552.6535348),
Q,Alkmaar Oudorp public library,"Public library in the Oudorp neighbourhood in the city of Alkmaar, The",Point(4.7657342,
