Bubble chart,Tree map,Tree,Timeline,Dimensions,Graph
tsv,,,,,
Label,dplDescription,dplLoc,dplImage,,
s-Heerenberg public library,"Public library in s-Heerenberg, municipality of Montferland,The Netherlands","Point(6.2454886, 1.8731333)",The Netherlands,,
't Harde public library service point,"Public library in the village of 't Harde, The Netherlands","Point(5.8779175, 2.4172699)",,,
Aalsmeer public library,"Public library in Aalsmeer, The Netherlands","Point(4.7496987, 52.2679063)",,,
Aalst public library,"Public library in Aalst, The Netherlands","Point(5.1259789, 51.7841643)",,,
Public library in Aalst,The Netherlands,"Point(5.1259789, 51.7841643)",,,
Public library in Abbekerke,"municipality of Medemblik, The Netherlands","Point(5.0160659, 52.7313345)",,,
Public library in the village of Achterveld,"municipality of Leusden, The Netherlands","Point(5.4973655, 52.1365067)",,,
Public library in Aduard,"province of Groningen, The Netherlands","Point(6.4570135, 53.2599615)",,,
Aduard public library,,,,,
Akersloot public library,"Public library in Akersloot, The Netherlands","Point(4.7322704, 52.5633782)",,,
Alblasserdam public library,"Public library in Alblasserdam, The Netherlands","Point(4.65723, 51.86473)",,,
Alkmaar De Mare public library,"Public library in Alkmaar De Mare, The Netherlands","Point(4.7588585, 52.6535348)",,,
Alkmaar Oudorp public library,"Public library in the Oudorp neighbourhood in the city of Alkmaar, The Netherlands","Point(4.7657342, 52.6340365)",,,
