□ ■,,Name dified,File size
日,WikidataMapMakingWorkshop.ipynb,Upload C,incel
□□ node_modules,,2 masmden goleden,
□,Wikibase_Universal_Bot,éen maand geleden,
□,DutchPublicLibraries_OpenStreetMap.ipynb,5 dagen geleden,442 kB
□,DutchPublicLibraries_GoogleMaps_Test.ipynb,5 dagen geleden,18.1 kB
□,UniversalBot.ipynb,éen maand geleden,555 B
,VariousTests.ipynb,2 maanden geleden,8.7 kB
□,WikidataMapMakingWorkshop.ipynb,Running 28 minuten geleden,37.4 kB
□,NetherlandsPublicLibrariesHeatmap.html,3 dagen geleden,4.56 MB
□,nl_munis_with_public_libs.json,3 dagen geleden,787 kB
popupstyle.css,,2 maanden geleden,170B
