Q wd:Q59772713,'s-Heerenberg public library,'s-Heerenberg public ibrary,"Public library in s-Heerenberg, municipality of Montferland, The Netherlands","municipality of Montferland,The Netherlands",,Point(6.2454886 51.8731333),
Q wd:Q59772713,'t Harde public library service point,'t Harde public ibrary service point,"Public library in the village of 't Harde, The Netherlands",,,Point(5.877917 52.4172699),
Q wd:Q59772713,Aalsmeer public library,Aalsmeer public library,"Public library in Aalsmeer, The Netherlands",,,Point(4.7496987 52.2679063),
Q wd:Q59772713,Aalst public library,Aalst public library,"Public library in Aalst, The Netherlands",,,Point(5.1259789 51.7841643),
Q wd:Q59772713,Abbekerk public library,Abbekerk public library,"Public library in Abbekerk, municipality of Medemblik, The Netherlands",,,Point(5.0160659 52.7313345),
Q wd:Q59772713,Achterveld public library,Achterveld public library,"Public library in the village of Achterveld, municipalityofLeusden,TheNetherlands",,,Point(5.4973655 52.1365067),
Q wd:Q59772713,Aduard public library,Aduard public library,"Public library in Aduard, province of Groningen, The Netherlands",,,Point(6.4570135 53.2599615),
Q wd:Q59772713,Akersloot public library,Akersloot public library,"Public library in Akersloot, The Netherlands",,,Point(4.7322704 52.5633782),
Q wd:Q59772713,Alblasserdam public library,Alblasserdam public library,"Public library in Alblasserdam, The Netherlands",,,Point(4.65723 51.86473),
Q wd:Q59772713,Alkmaar De Mare public library,Alkmaar De Mare public library,"Public library in Alkmaar De Mare, The Netherlands",,,Point(4.7588585 52.6535348),
Q wd:Q59772713,Alkmaar Oudorp public library,Alkmaar Oudorp public library,"Public library in the Oudorp neighbourhood in the city of Alkmaar, The",,,Point(4.7657342 52.6240295),
