,Year ended 31 Dec 2020,Year ended 31 Dec 2020,Year ended 31 Dec 2020,Year ended 31 Dec 2020,Year ended 31 Dec 2020
,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Profit before tax,"$m 3,704","$m 1,639","$m 3,616",$m (182),"$m 8,777"
Tax expense,(509),(661),(977),(531),"(2,678)"
Profit after tax,"3,195",978,"2,639",(713),"6,099"
"Less atributable to: preference shareholders,other equity holders,non-controlling",,,,(8),
interests Profitatributable to ordinary shareholders of the parent company,"(736) 2,459",(673) 305,"(784) 1,855",(721),"(2,201) 3,898"
Increase in PVIF (net of tax),(242),(10),二,(1),(253)
Significant items (net of tax) and UK bank levy,190,208,958,"2,041","3,397"
Markets Treasury allocation and other adjustments,20,(14),(25),60,41
"Profit attributable to ordinary shareholders,excluding PVlF, significant items and UK bank levy","2,427",489,"2,788","1,379","7,083"
"Average tangible shareholders'equity excluding fair value of own debt,DVA and",,,,"44,580",
other adjustments Return on average tangible equity excluding significant items and UK bank levy (%),"26,551 9.1","37,826 1.3","41,566 6.7",3.1,"150,523 4.7"
