,Carrying,Fair value,Fair value,Fair value,Fair value
,Carrying,Quoted market amount price Level 1,Observable inputs Level 2,Significant unobservable inputs Level 3,Total
,$m,$m,$m,$m,$m
At 31 Dec 2020 Assets,,,,,
Loans and advances to banks,,1,"80,457","1,339",
Loans and advances to customers,"81,616 1,037,987",二,"9,888","1,025,573","81,796 1,035,461"
Reverse repurchase agreements- non-trading,"230,628",1,"230,330",272,"230,602"
Financial investments-at amortised cost,"88,639","28,722","67,572",507,"96,801"
Liabilities,,,,,
Deposits by banks,"82,080",二,"81,996",二,"81,996"
Customer accounts,"1,642,780",二,"1,642,988 111,898",143,"1,643,131"
Repurchase agreements-non-trading,"111,901",3,"96,371",二 657,"111,901"
Debt securities in issue Subordinated liabilities,"95,492",二,"28,552",,"97,028"
,"21,951",二,,二,"28,552"
At 31 Dec 2019,,,,,
Assets,,,,,
Loans and advances to banks,"69,203",,"68,508 10,365",739,"69,247"
Loans and advances to customers,"1,036,743",1 16,"240,199","1,027,178","1,037,543"
Reverse repurchase agreements-non-trading,"240,862","26,202","62,572",691,"240,906"
Financial investments-at amortised cost,"85,735",,,287,"89,061"
Liabilities,,,"58,951",一,
Deposits by banks,"59,022 1,439,115",,"1,439,362",150,"58,951"
Customer accounts,,,"140,344",1,"1,439,512"
Repurchase agreements- non-trading,"140,344 104,555",一,"104,936",二,"140,344"
Debt securities in issue,,,"28,861",385,"104,936"
Subordinated liabilities,"24,600",,,,"29,246"
