Gross carrying/notional amount Allowance for Strong,Gross carrying/notional amount Allowance for Good,Gross carrying/notional amount Allowance for Satisfactory,Gross carrying/notional amount Allowance for Sub-standard,Gross carrying/notional amount Allowance for Credit impaired,Gross carrying/notional amount Allowance for Total,Allowance for ECL/other credit provisions,Net
"524,889","258,402","228,485","20,007","13,692","1,045,475","(8,732)","1,036,743"
"354,461","45,037","27,636","2,286","4,851","434,271","(3,134)","431,137"
"138,126","190,470","186,383","16,891","8,629","540,499","(5,438)","535,061"
"32,302","22,895","14,466",830,212,"70,705",(160),"70,545"
"60,636","5,329","1,859","1,395",,"69,219",(16),"69,203"
"151,788","1,398",915,,,"154,101",(2),"154,099"
"4,935",18,3,,,"4,956",,"4,956"
"38,380",,,,,"38,380",,"38,380"
"193,157 78,318","37,947 6,503","9,621 906",137 61,1,"240,862 85,788",(1) (53),"240,862 85,735"
"70,675 1,133","8,638 4,651","11,321 4,196",306 230,152 4,"91,092 10,214",(63),"91,029"
"69,542","3,987","7,125",76,148,"80,878",(16) (47),"10,198 80,831"
"333,158","10,966","7,222",544,1,"351,891",(166),"351,725"
"135,059","15,240","22,964","2,181",,"175,444",1,"175,444"
"4,655","1,391","5,584",139,,"11,769",,
"187,636","42,642","11,894",821,2,"242,995",一 1,"11,769 242,995"
"1,783,286 70.9%","388,474 15.5%",,,,"2,511,972","(9,032)","2,502,940"
"369,424","146,988","77,499","5,338",780,"600,029",(329),"599,700"
"7,441","6,033","5,539","1,011",190,"20,214",(48),"20,166"
"376,865","153,021","83,038","6,349",970,"620,243",(377),"619,866"
"66,148","69,890",,,,,,
"30,099","23,335","58,754","2,605",182,"197,579",1,"197,579"
"96,247","93,225","78,816","4,662",562,"273,512",(132),"273,380"
