Date_to_100%,0.0,0.5,1.0,2.0,5.0,10.0
tsv,,,,,,
Total,UK,Hong Kong,,,,
Gross carrying/nominal amount,$,m,$,m,$,m
ECL coverage,%,%,%,,,
Rated CRR/PD1 to 7,,,,,,
Not collateralised,"64,046",0.3,"10,527",1.1,"30,506",
Fully collateralised,"89,664",0.3,"16,483",0.4,"41,861",0.1
Partially collateralised (A):,"6,728",0.4,"2,174",0.3,965,0.2
collateral value on A,"3,994","1,157",741,,,
Total,"160,438",0.3,"29,184",0.6,"73,332",
Rated CRR/PD8,,,,,,
Not collateralised,40,22.5,15,6.7,,
Fully collateralised,634,8.2,104,12.5,244,12.7
LTV ratio:,,,,,,
less than 50%,282,7.1,15,6.7,102,11.8
51% to 75%,321,9.0,75,13.3,138,13.0
76% to 90%,14,21.4,5,20.0,4,25.0
LTV ratio:    2021  2022  2023  2024  2025  2026,,,,,,
less than 50% 282   7.1   15    6.7   102   11.8,,,,,,
51% to 75%    321   9.0   75    13.3  138   13.0,,,,,,
76% to 90%    14    21.4  5     20.0  4     25.0,,,,,,
91% to 100%   17    -     9     -     -     -,,,,,,
Partially collateralised (B): 9     11.1  2     50.0  -     -,,,,,,
collateral value on B 9     -     1     -     -     -,,,,,,
Total         683   9.1   121   12.4  244   12.7,,,,,,
Rated CRR/PD9 to 10,,,,,,
Not collateralised 1,038 45.3  635   50.7  -     -,,,,,
Fully collateralised 584   11.5  348   9.5   20    5.0,,,,,,
less than 50% 178   13.5  56    5.4   11    -,,,,,,
51% to 75%    161   15.5  128   12.5  3     -,,,,,,
76% to 90%    149   6.7   139   5.8   -     -,,,,,,
91% to 100%   96    8.3   25    24.0  6     16.7,,,,,,
Partially collateralised (C): 474   45.6  195   27.7  -     -,,,,,,
collateral value on C 331   -     120   -     -     -,,,,,,
Total         2,096 35.9  1,178 34.7  20    5.0,,,,
At 31 Dec 2020 163,217 0.8   30,483 3.0   73,596 0.1,,,
Partially_collateralised_(C):,474,45.6,195,27.7,,-
collateral_value_on_C,331,120,,-,,
Total,2096,35.9,1178,34.7,20,5.0
At_31_Dec_2020,163217,0.8,30483,2.0,73596,0.1
Rated_CRR/PD1_to_7,,,,,,
Not_collateralised,64850,0.1,9119,0.3,32918,-
Fully_collateralised,94299,0.1,19833,0.1,43299,0.1
Partially_collateralised_(A):,7052,0.2,971,0.1,1669,0.1
collateral_value_on_A,3796,586,,1167,,
Total,166201,0.1,29923,0.1,77886,-
Rated_CRR/PD8,,,,,,
Not_collateralised,10,50.0,4,100.0,-,
Fully_collateralised,204,4.9,121,5.0,-,
LTV_ratio:,,,,,,
less_than_50%,47,8.5,27,14.8,-,
51%_to_75%,120,3.3,68,1.5,-,
76%_to_90%,25,4.0,15,6.7,-,
91%_to_100%,12,8.3,11,-,-,
Partially_collateralised_(B):,11,-,7,-,-,
- 51% to 75%    120    3.3    68    1.5    -,,,,,,
- 76% to 90%    25     4.0    15    6.7    -,,,,,,
- 91% to 100%    12     8.3    11    -    -,,,,,,
Partially collateralised (B):    11    -    7    -    -,,,,,,
- collateral value on B    9     -    5    -    -,,,,,,
Total    225    6.7    132    7.6    -,,,,,,
Rated CRR/PD9 to 10    -    -    -    -    -,,,,,,
Not collateralised    315    57.8    66    92.4    -,,,,,,
Fully collateralised    557    14.9    404    12.9    17    11.8,,,,,,
LTV ratio:    -    -    -    -    -,,,,,,
- less than 50%    87     16.1    42    7.1    6    16.7,,,,,,
- 51% to 75%    90     7.8    69    4.3    10    -,,,,,,
- 76% to 90%    89     15.7    72    4.2    -,,,,,,
- 91% to 100%    291    16.5    221    19.5    1    100.0,,,,,,
Partially collateralised (C):    774    41.6    507    27.8    -,,,,,,
- collateral value on C    380    -    166    -    -,,,,,,
Total    1,646    35.7    977    26.0    17    11.8,,,,,
At 31 Dec 2019    168,072    0.5    31,032    1.0    77,903    0.1,,,
