Roles,Board attendance in 2020,Responsibilities
"Group Chairman Mark E Tucker1,2",17/17,"• Provides effective leadership of the Board and promotes the highest standards of corporate governance practices. • Leads the Board in providing strong strategic oversight and setting the Board’s agenda, culture and values. • Leads the Board in challenging management’s thinking and proposals, and foster open and constructive debate among Directors. • Maintains external relationships with key stakeholders and communicates investors' views to the Board. • Evaluates the performance of the Board, Committees, non-executive Directors and Group Chief Executive."
Executive Director Group Chief Executive Noel Quinn2,17/17,"• Leads and directs the implementation of the Group’s business strategy, embedding the organisation’s culture and values. • Leads the Group Executive Committee with responsibility for the day-to-day operations of the Group, under authority delegated to him from the Board. • Maintains relationships with key stakeholders including the Group Chairman and the Board."
Executive Director Chief Financial Officer Ewen Stevenson2,17/17,"• Supports the Group Chief Executive in developing and implementing the Group strategy and recommends the annual budget and long-term strategic and financial plan. • Leads the Finance function and is responsible for effective financial reporting, including the effectiveness of the processes and controls, to ensure the financial control framework is robust and fit for purpose. • Maintains relationships with key stakeholders including shareholders."
Non-executive Directors,17/17,"• Supports the Group Chairman, acting as intermediary for non-executive Directors when necessary. • Leads the non-executive Directors in the oversight of the Group Chairman, supporting the clear division of responsibility between the Group Chairman and the Group Chief Executive. • Listens to shareholders' views if they have concerns that cannot be resolved through the normal channels."
"Senior Independent Director David Nish2,3",17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Laura Cha3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Henri de Castries3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
James Forese3,12/12,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Steven Guggenheimer3,12/12,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Irene Lee3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Dr José Antonio Meade Kuribreña3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
"Heidi Miller3,4",16/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
"Eileen Murray3,4",5/7,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Jackson Tai3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Pauline van der Meer Mohr3,17/17,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Kathleen Casey3,5/5,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Sir Jonathan Symonds3,2/2,• Develop and approve the Group strategy. • Challenge and oversee the performance of management. • Approve the Group’s risk appetite and review risk profile and performance.
Group Company Secretary and Chief Governance Officer Aileen Taylor,,"• Maintains strong and consistent governance practices at Board level and throughout the Group. • Supports the Group Chairman in ensuring effective functioning of the Board and its committees, and transparent engagement between senior management and non-executive Directors. • Facilitates induction and professional development of non-executive Directors. • Advises and supports the Board and management in ensuring effective end-to-end governance and decision making across the Group."
