At,USD,GBP,HKD,EUR,CNY,Others,Total
Loans and advances to banks,"17,959","3,495","7,155","4,601","6,063","42,343","81,616"
Loans and advances to customers,"173,117","280,803","222,138","89,851","37,671","234,407","1,037,987"
Total loans and advances,"191,076","284,298","229,293","94,452","43,734","276,750","1,119,603"
Deposits by banks,"30,239","7,856",,"2,884",25,"291,4904","10,906 82,080"
Customer accounts,"433,647","431,143",,"310,197",135,"161,142","1,642,780"
Total deposits,"463,886","438,999",,,,"281,877","1,724,860"
At,USD,GBP,HKD,EUR,CNY,Others,Total
Loans and advances to banks,"19,386","3,245","6,242","4,266","5,772","30,292","69,203"
Loans and advances to customers,"177,696","264,029","234,945","84,919","34,338","240,816","1,036,743"
Total loans and advances,"197,082","267,274","241,187","89,185","40,110","271,108","1,105,946"
Deposits by banks,"23,508","7,537","1,865","11,154","4,265","10,693","59,022"
Customer accounts,"360,462","358,764","299,049","122,988","52,216","245,636","1,439,115"
Total deposits,"383,970","366,301","300,914","134,142","56,481","256,329","1,498,137"
