2018,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Footnotes,$m,$m,$m,$m,$m
Net operating income/(expense) before change in expected credit losses and other credit impairment charges,1,"23,551","14,374","15,056","-883,52098"
,external,"19,096","14,675","18,780","-453,52098"
,inter-segment,"4,455",(301),"(3,724)","-430,-"
,of which: net interest income/(expense),"16,418","10,220","4,880","-2,070,29448"
Change in expected credit losses and other credit impairment (charges)/recoveries,,"(1,072)",(683),34,"101,-1620"
Net operating income/(expense),"22,479","13,691","15,090",-782,"50,478"
Total operating expenses,"14,614","6,307","9,316","1,486","31,723"
Operating profit/(loss),"7,865","7,384","5,774","-2,268","18,755"
Share of profit in associates and joint ventures,32,,,"2,412","2,444"
Adjusted profit before tax,"7,897","7,384","5,774",144,"21,199"
%,,,,,
Share of HSBC's adjusted profit before tax,37.3,34.8,27.2,0.7,100.0
Adjusted cost efficiency ratio,62.1,43.9,61.9,-168.3,60.9
Adjusted balance sheet data,$m,$m,$m,$m,$m
Loans and advances to customers (net),"419,231","344,855","253,319","1,599","1,019,004"
Interests in associates and joint ventures,399,,,"22,753","23,152"
Total external assets,"741,222","520,403","1,261,807","128,021","2,651,453"
Customer accounts,"729,902","372,551","306,438",831,"1,409,722"
