,2020,2020,2020,2020,2020
,Wealth and Personal Banking $m,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
,Footnotes 1,$m,$m,$m,$m
Revenue,,,,,
Reported,"21,999","13,294","14,994",142,"50,429"
Significant items,14,18,309,(404),(63)
：customer redress programmes,5,16,1,1,21
"- disposals,acquisitions and investment in new businesses",9,1,1,1,10
- fair value movements on financial instruments 2,1,1,2,(267),(264)
-restructuring and other related costs 3,,1,307,(138),170
Adjusted,"22,013","13,312","15,303",(262),"50,366"
ECL,,,,,
Reported,"(2,855)","(4,754)","(1,209)",1,"(8,817)"
Adjusted,"(2,855)","(4,754)","(1,209)",1,
Operating expenses,,,,,"(8,817)"
,,"(6,900)","(10,169)","(1,917)",
Reported Significant items,"(15,446)",211,905,"1,435","(34,432)"
- customer redress programmes,422 (64),1,1,9,"2,973"
impairment of goodwill and other intangibles,294,45,577,174,"(54) 1,090"
- past service costs of guaranteed minimum pension benefits,1,1,1,17,17
equalisation -restructuring and other related costs 4,192,165,326,"1,225","1,908"
- settlements and provisions in connection with legal and regulatory matters,1,1,2,10,
Adjusted,"(15,024)","(6,689)","(9,264)",(482),12
Share of profit in associates and joint ventures,,,,,"(31,459)"
Reported,6,(1),二,"1,592","1,597"
Significant items,二,二,二,462,462
-impairment of goodwill,二,1,二,462,
Adjusted,6,(1),二,"2,054",462
Profit/(loss) before tax,,,,,"2,059"
Reported,"3,704","1,639","3,616",(182),
Significant items,436,229,"1,214","1,493","8,777"
-revenue,14,18,309,(404),"3,372"
- operating expenses,422,211,905,,(63)
- share of profit in associates and joint ventures,,,,"1,435","2,973"
Adjusted,二,1,二,462,462
,"4,140","1,868","4,830","1,311","12,149"
Loans and advances to customers (net),,,,,
Reported Adjusted,"469,186","343,182","224,364","1,255","1,037,987"
,"469,186","343,182","224,364","1,255","1,037,987"
Customer accounts,,,"336,983",610,
Reported,"834,759","470,428 470,428","336,983",610,"1,642,780"
Adjusted,"834,759",,,,"1,642,780"
