Of which:,Europe,Asia,MENA,North America,Latin America,Total,UK,Hong Kong
"On demand, overdrafts or revolving",< 1 year,"13,728","25,075",750,"5,793",263,"45,609","12,131,19,998"
"On demand, overdrafts or revolving",1–2 years,"6,373","18,396",119,"3,112",434,"28,434","4,991,13,237"
"On demand, overdrafts or revolving",2–5 years,"6,241","27,699",668,"2,288",927,"37,823","3,135,21,694"
"On demand, overdrafts or revolving",> 5 years,"2,961","3,829",296,315,266,"7,667","1,215,2,929"
"On demand, overdrafts or revolving",At 31 Dec 2020,"29,303","74,999","1,833","11,508","1,890","119,533","21,472,57,858"
"On demand, overdrafts or revolving",< 1 year,"13,808","21,625",816,"5,905",135,"42,289","11,775,16,937"
"On demand, overdrafts or revolving",1–2 years,"6,197","17,638",142,"1,548",107,"25,632","5,274,13,776"
"On demand, overdrafts or revolving",2–5 years,"7,797","35,557",509,"3,511","1,332","48,706","4,347,27,860"
"On demand, overdrafts or revolving",> 5 years,"2,319","4,706",266,515,147,"7,953","458,3,772"
"On demand, overdrafts or revolving",At 31 Dec 2019,"30,121","79,526","1,733","11,479","1,721","124,580","21,854,62,345"
