,Nominal amount,Nominal amount,Nominal amount,Nominal amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
,Stage 1,Stage 2,Stage 3,Total,Stage 1,Stage 2,Stage 3,Total
,$m,$m,$m,$m,$m,$m,$m,$m
Europe,"56,920",719,96,"57,735",(22),(2),1,(24)
of which: UK,"54,348",435,92,"54,875",(21),(2),一,(23)
Asia,"156,057",790,11,"156,858",二,二,二,二
- of which:Hong Kong,"118,529",10,10,"118,549",二,二,1,二
MENA,"2,935",46,8,"2,989",(1),二,二,(1)
North America,"15,835",124,38,"15,997",(11),1,一,(11)
Latin America,"3,462",28,1,"3,491",(5),二,1,(5)
At 31 Dec 2020,"235,209","1,707",154,"237,070",(39),(2),1,(41)
