Total shareholders' equity,2020,2019,2018
$m,$m,$m,$m
Total shareholders' equity,196443,183955,186253
Preference shares and other equity instruments,(22414),(22276),(23772)
Total ordinary shareholders' equity,174029,161679,162481
"Goodwill, PVIF and intangible assets (net of deferred tax)",(17606),(17535),(22425)
Tangible ordinary shareholders' equity,156423,144144,140056
Basic number of $0.50 ordinary shares outstanding,20184,20206,19981
$,$,$,$
Value per share,Net asset value per ordinary share,8.62,"8.00,8.13"
Tangible net asset value per ordinary share,7.75,7.13,7.01
