In-scope for IFRS 9,Gross carrying/notional amount,Strong,Good,Satisfactory,Sub-standard,Credit impaired,Total,Allowance for ECL/other credit provisions,Net
Loans and advances to customers held at amortised cost,Loans and advances to customers held at amortised cost,"506,231","233,320","256,584","36,970","19,372","1,052,477","(14,490)","1,037,987"
Loans and advances to customers held at amortised cost,personal,"357,821","53,892","38,520","4,965","5,611","460,809","(4,731)","456,078"
Loans and advances to customers held at amortised cost,corporate and commercial,"120,971","158,601","203,560","30,718","13,238","527,088","(9,494)","517,594"
Loans and advances to customers held at amortised cost,non-bank financial institutions,"27,439","20,827","14,504","1,287",523,"64,580",(265),"64,315"
Loans and advances to banks held at amortised cost,Loans and advances to banks held at amortised cost,"71,318","5,496","3,568","1,276",—,"81,658",(42),"81,616"
Cash and balances at central banks,Cash and balances at central banks,"302,028","1,388","1,070",—,—,"304,486",(5),"304,481"
Items in the course of collection from other banks,Items in the course of collection from other banks,"4,079",9,6,—,—,"4,094",—,"4,094"
Hong Kong Government certificates of indebtedness,Hong Kong Government certificates of indebtedness,"40,420",—,—,—,—,"40,420",—,"40,420"
Reverse repurchase agreements – non-trading,Reverse repurchase agreements – non-trading,"177,457","40,461","12,398",312,—,"230,628",—,"230,628"
Financial investments,Financial investments,"77,361","9,781","1,537",1,39,"88,719",(80),"88,639"
"Prepayments, accrued income and other assets","Prepayments, accrued income and other assets","81,886","10,129","11,570",298,178,"104,061",(90),"103,971"
"Prepayments, accrued income and other assets",endorsements and acceptances,"1,458","4,355","4,245",229,20,"10,307",(30),"10,277"
"Prepayments, accrued income and other assets",accrued income and other,"80,428","5,774","7,325",69,158,"93,754",(60),"93,694"
Debt instruments measured at fair value through other comprehensive income,Debt instruments measured at fair value through other comprehensive income,"367,685","12,678","10,409",825,306,"391,903",(141),"391,762"
Out-of-scope for IFRS 9,Trading assets,"117,972","14,694","20,809",829,43,"154,347",—,"154,347"
Other financial assets designated and otherwise mandatorily measured at fair value through profit or loss,Other financial assets designated and otherwise mandatorily measured at fair value through profit or loss,"6,440","2,378","1,827",109,—,"10,754",—,"10,754"
Derivatives,Derivatives,"243,005","54,581","8,709","1,359",72,"307,726",—,"307,726"
Total gross carrying amount on balance sheet,Total gross carrying amount on balance sheet,"1,995,882","384,915","328,487","41,979","20,010","2,771,273","(14,848)","2,756,425"
Percentage of total credit quality,Percentage of total credit quality,72.0%,13.9%,11.9%,1.5%,0.7%,100%,—,—
Loan and other credit-related commitments,Loan and other credit-related commitments,"400,911","157,339","90,784","9,668","1,081","659,783",(734),"659,049"
Financial guarantees,Financial guarantees,"6,356","5,194","5,317","1,247",270,"18,384",(125),"18,259"
In-scope: Irrevocable loan commitments and financial guarantees,In-scope: Irrevocable loan commitments and financial guarantees,"407,267","162,533","96,101","10,915","1,351","678,167",(859),"677,308"
Loan and other credit-related commitments,Loan and other credit-related commitments,"59,392","62,664","59,666","2,837",430,"184,989",—,"184,989"
Performance and other guarantees,Performance and other guarantees,"26,082","27,909","21,256","2,112",755,"78,114",(226),"77,888"
Out-of-scope: Revocable loan commitments and non-financial guarantees,Out-of-scope: Revocable loan commitments and non-financial guarantees,"85,474","90,573","80,922","4,949","1,185","263,103",(226),"262,877"
