Footnotes,Wealth and Personal Banking^3,Commercial Banking^3,Global Banking and Markets^3,Corporate Centre^3,Total
Europe,-841,-1324,-997,-1491,-4653
- UK,1,-1053,904,-1217,-3345
- of which: HSBC UK Bank plc (RFB),-331,1555,70,13,1307
- of which: HSBC Bank plc (NRFB),245,278,-186,-467,-130
- of which: Holdings and other,-967,-929,-1101,-1525,-4522
- France,55,120,-65,-74,36
- Germany,18,46,95,2,161
- Switzerland,93,7,-3,-6,91
- other,46,-2401,193,566,-1596
Asia,7715,4519,4083,2151,18468
- Hong Kong,7220,3242,1729,-142,12049
- Australia,130,127,199,-12,444
- India,67,201,533,205,1006
- Indonesia,20,55,127,14,216
- mainland China,-73,317,512,2121,2877
- Malaysia,102,73,189,-22,342
- Singapore,154,105,250,-31,478
- Taiwan,43,25,97,-4,161
- other,52,374,447,22,895
Middle East and North Africa,254,212,761,1100,2327
- Egypt,73,81,245,11,410
- UAE,139,94,246,-54,425
- Saudi Arabia,-3,,13,1145,1155
- other,45,37,257,-2,337
North America,-573,855,729,-244,767
- US,-277,386,547,-221,435
- Canada,70,427,143,-22,618
- other,-366,42,39,-1,-286
Latin America,264,-103,328,-89,400
- Mexico,311,176,229,-29,687
- other,-47,-279,99,-60,-287
GBM goodwill impairment,2,,-3962,,3962
Year ended 31 Dec 2019,6819,4159,942,1427,13347
