By geography,Gross carrying/nominal amount,Strong,Good,Satisfactory,Sub-standard,Credit impaired,Total,Allowance for ECL,Net
By geography,Gross carrying/nominal amount,Strong,$m,Good,$m,Satisfactory,$m,Sub-standard,"$m,Credit impaired,$m,Total,$m,Allowance for ECL,$m,Net,$m"
Europe,53,373,55,436,81,049,18,327,"6,637,214,822,(4,137),210,685"
- of which: UK,35,050,42,476,55,106,12,357,"4,764,149,753,(3,123),146,630"
Asia,141,811,93,350,98,488,4,493,"3,551,341,693,(2,803),338,890"
- of which: Hong Kong,72,088,52,601,68,826,2,558,"1,683,197,756,(1,196),196,560"
MENA,12,398,7,810,10,990,1,448,"1,982,34,628,(1,524),33,104"
North America,11,157,22,973,24,978,5,964,"913,65,985,(660),65,325"
Latin America,989,5,355,6,127,3,049,678,"16,198,(677),15,521"
At 31 Dec 2020,219,728,184,924,221,632,33,281,"13,761,673,326,(9,801),663,525"
Percentage of total credit quality,32.6%,27.5%,32.9%,4.9%,2.0%,100.0%,,,
By geography,Gross carrying/nominal amount,Europe,57,340,69,427,74,143,"9,895,4,799,215,604,(2,399),213,205"
- of which: UK,35,838,53,046,51,355,7,023,"3,420,150,682,(1,658),149,024"
Asia,145,450,106,313,86,685,2,158,"1,553,342,159,(1,505),340,654"
- of which: Hong Kong,82,053,67,541,55,379,1,263,"721,206,957,(793),206,164"
MENA,12,036,6,003,9,307,1,439,"1,703,30,488,(1,098),29,390"
North America,12,319,31,496,24,860,3,320,"459,72,454,(282),72,172"
Latin America,3,919,5,455,7,713,2,304,"327,19,718,(330),19,388"
At 31 Dec 2019,231,064,218,694,202,708,19,116,"8,841,680,423,(5,614),674,809"
Percentage of total credit quality,34.0%,32.1%,29.8%,2.8%,1.3%,100.0%,,,
