Management view of adjusted revenue →,2020,2019,2018,2020 vs 2019
Management view of adjusted revenue →,$m,$m,$m,$m %
Management view of adjusted revenue →,,"5,728","6,243","1,562"
Global Markets -FICC,"7,290",,,"27 1,541"
,"6,278","4,737","5,062",33
Foreign Exchange,"3,373","2,671","2,898",702 26
Rates Credit,"1,734","1,451","1,416",283 20
-Equities,"1,171",615,748,556 90
Securities Services1,"1,012",991,"1,181",21 2
Global Banking1,"1,792",2.026,"1,925",(234) (12)
Global Liquidity and Cash Management,"3,804",3.875,"3,983",（71) (2)
Global Trade and Receivables Finance,"2,021",2.722,"2,563",(701) (26)
Principal Investments,769,802,784,(33) （4)
Credit and funding valuation adjustments,114,261,219,(147) (56)
Other2,(252),41,(183),(293) >(200)
"Markets Treasury, HSBC Holdings interest expense and",(575) 340,(642) 56,（579) 101,67 10 >200
Argentina hyperinflation Net operating income³,"15,303","14,869","15,056",284 434 3
