(Audited),Fees1,Benefits2,Total,Footnotes
(£000),2020,2019,2020,"2019,2020,2019"
Kathleen Casey (retired on 24 April 2020),78,223,27,"9,105,232"
5,587,298,-,"""-"",587,298"
Henri de Castries,202,194,1,"4,203,198"
6,160,-," ""-""","160,-"
7,134,-," ""-""","134,-"
Irene Lee,546,454,-,"3,546,457"
José Antonio Meade Kuribreña,202,157,4,"2,206,159"
Heidi Miller,632,625,7,"2,639,627"
Eileen Murray,120,-," ""-""","120,-"
11,480,230,8,"16,488,246"
12,355,398,12,"57,367,455"
13,1500,1500,52,"231,1552,1731"
14,312,265,2,"8,314,273"
Total (£000),5394,4982,133,"353,5527,5335"
Total ($000),6919,6390,171,"453,7090,6843"
