All-employeeshareplans,,,,
All-employeeshareplans,,Aggregate nominal,Exercise price,
,Number,value,from,to
,Number,,$ f,f
,Number,,,
HSBC Holdings Savings-Related Share Option Plan (UK) HSBC ordinary shares issued in f,"1,387,599 693,800","1,387,599 693,800","1,387,599 693,800",2.6270 5.9640
Options over HSBC ordinary shares lapsed,"44,189,936 22,094,968","44,189,936 22,094,968","44,189,936 22,094,968",
"Options over HSBC ordinary shares granted in response to approximately 29,048 applications from HSBC employees in the UK on 24 September 2020","111,469,393 55,734.697","111,469,393 55,734.697","111,469,393 55,734.697",
,,Aggregate,,
,,HSBC Holdings ordinary shares,nominal,Market value per share
,,issued,value from,to f
HSBC International Employee Share Purchase Plan,"679,640","339,820",$ 3.0855,f
,,,,5.9140
