Selected balance sheet information of BoCom,,
Selected balance sheet information of BoCom,At 30Sep,
Selected balance sheet information of BoCom,2020,2019
Cash and balances at central banks,$m,"$m 112,239"
Loans and advances to banks and other financial institutions,"121,987","108,026"
Loans and advances to customers,"107,334 870,728","730,510"
Other financial assets,"508,328","435,740"
Other assets,,
Total assets,"44,622","40,101"
Deposits by banks and other financialinstitutions,"1,652,999","1,426,616"
Customer accounts,"273,708","290,492"
Other financial liabilities,"1,012,732","868,627"
Other liabilities,"207,110","131,772"
Total liabilities,"31,105","23,074"
Total equity,"1,524,655","1,313,965"
,"128,344","112,651"
