,Strategy and,Strategy and,Strategy and,Strategy and,Strategy and,Strategy and,Strategy and
,Induction1,business briefings2,Risk and control3,Corporate governance4,Global mandatory training5,"ARCC, Chairs and Remco Forum",Subsidiary
Director Kathleen Casey,。,：,：,：,：,：,。
Laura Cha,0,.,.,：,：,：,：
Henri de Castries,0,：,：,：,：,。,0
James Forese,：,.,.,：,,。,。
Steven Guggenheimer,：,,,,,0,0
Irene Lee,0,：,,：,,·,.
José Antonio Meade Kuribrena,0,.,,?,,：,0
Heidi Miller,0,.,,.,,：,·
Eileen Murray,：,：,,?,,0,。
David Nish,0,：,,.,,：,。
Noel Quinn,：,0,,,,：,0
Ewen Stevenson,0,：,,,,：,0
Jackson Tai,0,：,,,,：,。
Mark Tucker,0,：,,,,：,0
Pauline van der Meer Mohr,0,：,,：,,：,0
