Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 6 months,Due over 6 months but not more than 9 months,Due over 9 months but not more than 1 year,Due over 1 year but not more than 2 years,Due over 2 years but not more than 5 years,Due over 5 years,Total
Cash at bank and in hand:,,,,,,,,
balances with HSBC undertakings,"2,913",,,,,,,
Derivatives,"1,473",,,,9,,,"2,080"
Loans and advances to HSBC undertakings,,,600,120,,,312,"6,027,3,384"
Financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,,,451,,,4,320,"23,203,37,279"
Financial investments,"3,701","3,769","2,924",799,"3,528","2,764",,",17,485"
Accrued income and other financial assets,"1,015",275,100,33,22,,,",1,445"
Total financial assets at 31 Dec 2020,"9,102","5,095","3,149",832,"3,550","7,405","30,361","42,743,102,237"
Non-financial assets,,,,,,,,
Total assets at 31 Dec 2020,"9,102","5,095","3,149",832,"3,550","7,405","30,361","203,679,263,173"
Financial liabilities,,,,,,,,
Amounts owed to HSBC undertakings,,,330,,,,,
Financial liabilities designated at fair value,,,984,859,,,3,"088,3,810,16,923,25,664"
debt securities in issue,,,984,859,,,3,"088,2,108,12,585,19,624"
subordinated liabilities and preferred securities,,,,,,1,702,",,4,338,6,040"
Derivatives,"3,052",,,,8,,,"3,060"
Debt securities in issue,,,503,1,621,563,,",24,489,34,667,64,029"
Accruals and other financial liabilities,"3,769",689,301,57,12,,,",36,4,865"
Subordinated liabilities,,,,,,,,
31 Dec 2020,"6,821","2,506","2,781",620,12,"5,274","32,367","65,483,115,864"
Non-financial liabilities,,,,,,,,
Total liabilities at 31 Dec 2020,"6,821","2,506","2,781",620,12,"5,274","32,367","32,367,116,373"
Off-balance sheet commitments given,,,,,,,,
Undrawn formal standby facilities, credit lines and other commitments to lend,,,,,,,
Financial assets,,,,,,,,
Cash at bank and in hand:,,,,,,,,
balances with HSBC undertakings,"2,382",,,,,,,
Derivatives,596,,,,230,,,"1,176"
Loans and advances to HSBC undertakings,102,672,120,25,,,,"600,1,909,6,790,10,218"
Loans and advances to HSBC undertakings designated at fair value,,,,,,458,24,"845,36,661,61,964"
Financial investments in HSBC undertakings,"2,754","3,493","1,873","2,251","2,721","3,014",,",,16,106"
Accrued income and other financial assets,93,277,97,48,16,12,,",,543"
Total financial assets at 31 Dec 2019,"5,927","4,442","2,090","2,324","2,737","4,084","26,984","44,627,93,215"
Non-financial assets,,,,,,,,
Total assets at 31 Dec 2019,"5,927","4,442","2,090","2,324","2,737","4,084","26,984","206,652,255,240"
Financial liabilities,,,,,,,,
Amounts owed to HSBC undertakings,,,464,,,,,
Financial liabilities designated at fair value,,,984,859,,,5,"651,6,710,17,942,30,303"
debt securities in issue,,,984,859,,,5,"651,6,710,12,326,24,687"
subordinated liabilities and preferred securities,,,,,,5,616,",,5,616"
Derivatives,"1,838",,,,20,,,"85,,,78,,,2,021"
Debt securities in issue,,,503,1,621,563,,",10,134,23,786,22,924,56,844"
Accruals and other financial liabilities,900,574,303,55,10,,,",35,1,877"
Subordinated liabilities,"1,503",,,,2,076,,",14,782,18,361"
Total financial liabilities at 31 Dec 2019,"4,241","1,038",303,55,10,"15,805","32,657","55,761,109,870"
Non-financial liabilities,,,,,,,,
Total liabilities at 31 Dec 2019,"4,241","1,038",303,55,10,"15,805","32,657","32,657,110,196"
Off-balance sheet commitments given,,,,,,,,
Undrawn formal standby facilities, credit lines and other commitments to lend,,,,,,,
