,2020,2019,2018
Reported results,$m,$m,$m
Net operating income before change in expected credit losses and other credit,"50,429","56,098","53,780"
impairment charges ('revenue') Change in expected credit losses and other,"(8,817)","(2,756)","(1,767)"
credit impairment charges Net operating income,"41,612","53,342","52,013"
Total operating expenses,"(34,432)","(42,349)","(34,659)"
Operating profit,"7,180","10,993","17,354"
Share of profit in associates and joint,"1,597","2,354","2,536"
ventures Profit before tax,,,
Tax expense,"8,777 (2,678)","13,347","19,890"
Profit after tax,,"(4,639)","(4,865)"
,"6,099","8,708","15,025"
