,Notes*,2020,2019,2018
,Notes*,$m,$m,$m
Net interest income,,"27,578","30,462","30,489"
-interest income1.2,,"41,756","54,695","49,609"
-interest expense3,,"(14,178)","(24,233)","(19,120)"
Net fee income,2,"11,874","12,023","12,620"
-fee income,,"15,051","15,439","16,044"
- fee expense,,"(3,177)","(3,416)","(3,424)"
Net income from financial instruments held for trading or managed on a fair value basis,3,"9,582","10,231","9,531"
"Net income/(expense)from assets and liabilities of insurance businesses,including related derivatives, measured at fair value through profit or loss",,,,
Changes in fair value of designated debt and related derivatives4,3,"2,081","3,478","(1,488)"
Changes in fair value of other financial instruments mandatorily measuredatfair value through profit or loss,3,231,90,（97)
,3,455,812,695
Gains less losses from financial investments,,653,335,218
Net insurance premium income,4,"10,093","10,636","10,659"
Other operating income,,527,"2,957",960
Total operating income,,"63,074","71,024","63,587"
Netinsurance claimsand benefits paid and movement in liabilities to policyholders,4,"(12,645)","(14,926)","（9,807)"
Net operating income before change in expected credit losses and other credit impairment charges,,"50,429","56,098","53,780"
Change in expected credit losses and other credit impairmentcharges,,"(8,817)","(2,756)","(1,767)"
Net operating income,,"41,612","53,342","52,013"
Employee compensation and benefits,5,"(18,076)","(18,002)","(17,373)"
General and administrative expenses,,"(11,115)","(13,828)","(15,353)"
"Depreciation and impairment of property, plant and equipment and right-of-use assetsb",,"(2,681)","(2,100)",
Amortisation and impairment of intangible assets,,"(2,519)","(1,070)","(1,119)"
Goodwill impairment,21,(41),"(7,349)",(814) 二
Totaloperating expenses,,"(34,432)","(42,349)","(34,659)"
Operating profit,,"7,180","10,993","17,354"
Share of profit in associates and joint ventures,18,"1,597","2,354","2,536"
Profitbefore tax,,"8,777","13,347","19,890"
Tax expense,7,"(2,678)","(4,639)","(4,865)"
Profitfor the year,,"6,099","8,708","15,025"
Attributable to:,,,,
-ordinary shareholders of the parent company,,"3,898","5,969","12,608"
- preference shareholders of the parent company,,90,90,90
-other equity holders,,"1,241","1,324","1,029"
- non-controlling interests,,870,"1,325","1,298"
Profit for the year,,"6,099","8,708","15,025"
,,$,$,$
Basic earnings per ordinary share,9,0.19,0.30,0.63
Diluted earnings per ordinary share,9,0.19,0.30,0.63
