,Loan impairment provisions,Unused tax losses and,"Derivatives, FVOD1","Derivatives, FVOD1","Derivatives, FVOD1","Derivatives, FVOD1","Derivatives, FVOD1","Derivatives, FVOD1","Derivatives, FVOD1"
,Loan impairment provisions,Unused tax losses and,tax credits,and other Insurance investments business,provisions,Expense,Fixed assets,Retirement obligations Other,Total
,Footnotes $m,$m,$m,$m,$m,$m,$m,$m,$m
Assets,983,"1,414",979,二,650,"1,002",1,422,"5,450"
Liabilities,二,二,(558),"(1,621)",二,二,"(1,613)",,"(401) (4,193)"
At1 Jan 2020,983,"1,414",421,"(1,621)",650,"1,002","(1,613)",21,"1,257"
Income statement,295,355,(274),(32),(81),(112),(190),61,22
Other comprehensive income,二,二,(23),二,二,二,(387),,"(660) (1,070)"
Equity,二,二,二,二,二,二,1,1,二
Foreign exchange and other adjustments,(36),52,(281),31,(4),11,(116),304,(39)
At 31 Dec 2020 2,"1,242","1,821",(157),"(1,622)",565,901,"(2,306)",(274),170
Assets Liabilities,"1,242","1,821 1",548,"二 (1,622)",565,901,,1 960,"6,037"
2,二,,,(705),,1 1,,"(2,306) (1,234)","(5,867)"
Assets,982,"1,156",,492 1,,"629 1,151",,738,"5,148"
Liabilities,一,,(376),"(1,271)",,一,"(1,387)",(283),"(3,317)"
At1Jan 2019,982,"1,156",116,"(1,271)",629,"1,151","(1,387)",455,"1,831"
Income statement,45,266,(386),(303),(18),(185),(149),(141),(871)
Other comprehensive income,二,二,544,二,1,二,30,(391),183
Equity,1,二,,1 1,1,1,,1,1
Foreign exchange and other adjustments,（44),（8),147,（47),39,36,(107),98,114
At31Dec 2019,983,"1,414",,"421 (1,621)",,"650 1,002","(1,613)",21,"1,257"
Assets,2,"983 1,414",,979,1,"650 1,002",,1 422,"5,450"
Liabilities,2,1,1,"(558) (1,621)",,1 1,"(1,613)",(401),"(4,193)"
