Footnotes,HSBC,HSBC,HSBC Holdings1,HSBC Holdings1
Footnotes,2020,2019,2020,2019
,$m,$m,$m,$m
Guarantees and other contingent liabilities:,,"20,214",,"11,061"
financial guarantees,"18,384",,"13,787",
-performance and other guarantees,"78,114","75,933",二,二
- other contingent liabilities,"1,219","1,576",119,289
At 31 Dec,"97,717","97,723","13,906","11,350"
Commitments: 2,,,,
- documentary credits and short-term trade-related transactions,"7,178","6,316",二,一
-forward asset purchases and forward deposits placed,"66,506","56,326",1,1
"- standby facilities,credit lines and other commitments to lend","771,086","734,966",二,
At 31 Dec,"844,770","797,608",1,
