Reconciliation of equity and analysis of other comprehensive income by risk type,,
Reconciliation of equity and analysis of other comprehensive income by risk type,$m,Interest rate Foreign currency $m
Cash flow hedging reserve at1 Jan 2020,204,(205)
Fair value gains/(losses),514,(630)
Fair value (gains)/losses reclassified from the cash flow hedge reserve to the income statement in respect of:,,
,,822
Hedged items that have affected profit or loss,(107),
Income taxes Others,(79),(23)
Cash flow hedging reserve at 31 Dec 2020,(37),11
,495,(37)
Cash flow hedging reserve at1 Jan 2019 Fair value gains/(losses),(26),(182)
Fair value (gains)/losses reclassified from the cash flow hedge reserve to the income statementin respect of:,193,341
,99,
Hedged items that has affected profit or loss,（53),(371)
Income taxes Others,（9）,4
Cash flow hedging reserve at 31 Dec 2019,,3
,204,(205)
