"Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year","Maturity analysis of assets,liabilities and off-balance sheet commitments (continued) Due over Due over Due over Due over Due over Due over 1 month 3 months 6 months 9 months 1 year"
,Due not more than 1 month $m,but not more than 3 months $m,but not more than 6 months $m,but not more than 9 months $m,but not more than 1 year $m,but not more than 2 years $m,2 years but not more than 5 years $m,Due over 5 years $m,Total $m
Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets
Cash at bank and in hand:,,,,,,,,,
-balances with HSBC undertakings,"2,913",1,1,1,1,1,1,,"2,913"
Derivatives,"1,473",二,5,二,1,9,"1,131","2,080","4,698"
Loansand advances to HSBC undertakings Financial assets with HSBC undertakings,二,600,120,1,1,312,"6,027","3,384","10,443"
designated and otherwise mandatorily measured,,451,1,,,"4,320","23,203","37,279","65,253"
at fair value Financial investments,"1 3,701","3,769","2,924",1 799,"1 3,528","2,764",二,1,"17,485"
Accrued income and other financial assets,"1,015",275,100,33,22,1,1,1,"1,445"
Total financial assets at 31 Dec 2020,"9,102","5,095","3,149",832,"3,550","7,405","30,361","42,743","102,237"
Non-financial assets,二,"二 5,095",二,二,二,二,一,"160,936","160,936"
Total assets at 31 Dec 2020,"9,102",,"3,149",832,"3,550","7,405","30,361","203,679","263,173"
Financial liabilities,,330,1,,,,,,
Amounts owed to HSBC undertakings,1,984,859,1,1,"1 3,088","1 3,810","16,923",330
Financialliabilitiesdesignatedatfairvalue,二,984,,二,二,,"2,108",,"25,664"
- debt securities in issue,1,,859,1,1,"3,088","1,702","12,585","19,624"
-subordinated liabilities and preferred securities,二,二,1,二,1,1,1,"4,338","6,040"
Derivatives,"3,052",二 503,"二 1,621",- 563,二,"1 2,186","24,489","8 34,667","3,060"
Debt securities in issue,-,689,301,,-,,1,,"64,029"
Accrualsand other financial liabilities,"3,769",,,57,12,1,"4,067",36,"4,865"
Subordinated liabilities,二,"1 2,506","二 2,781",二,二,"1 5,274","32,367","13,849","17,916"
31Dec 2020,"6,821",,,620,12,,,"65,483","115,864"
Non-financial liabilities,二,"二 2,506","二 2,781",二,二,二,"二 32,367",509,509
Total liabilities at31Dec 2020,"6,821",,,620,12,"5,274",,"65,992","116,373"
"Off-balance sheet commitments given Undrawn formal standby facilities,credit ines",,,,,,,,,
and other commitments to lend,,,,,,,,,
Financial assets,,,,,,,,,
Cash at bank and in hand:,,,,,,,,,
-balances with HSBC undertakings,"2,382",二,二,二,,二,二,二,"2,382"
Derivatives Loansand advances to HSBC undertakings,596,二 672,二 120,二,1,二 600,"230 1,909","1,176 6,790","2,002"
Loans and advances to HSBC undertakings,102,,,25,二,,,,"10,218"
designated at fair value,1,1,1,1,1,458,"24,845","36,661","61,964"
Financial investments in HSBC undertakings,"2,754","3,493","1,873","2,251","2,721","3,014",1,一,"16,106"
Accrued incomeand other financial assets,93,277,97,48,16,12,,,543
Total financial assets at 31 Dec 2019,"5,927","4,442","2,090","2,324","2,737","4,084","26,984","44,627",93.215
Non-financial assets Total assets at 31 Dec 2019,"二 5,927","二 4,442",二,二,二,二,二,"162,025","162,025"
Financial liabilities,,,"2,090","2,324",2.737,"4,084","26,984","206,652","255,240"
Amounts owed to HSBC undertakings,1,464,一,一,一,1,1,1,464
Financialliabilitiesdesignatedatfair value,,,,,,"5,651","6,710","17,942","30,303"
-debt securities in issue,,,,,,"5,651","6,710","12,326","24,687"
-subordinated liabilities and preferred securities,一,二,,,一,二,二,"5,616","5,616"
Derivatives Debt securities in issue,"1,838",二,二,1,1,20,,,
