Financial assets,"31,613","74,237","1,195","107,045"
trading assets,,,,
financial assets designated and otherwise mandatorily measured at fair value through profit or loss,"15,490",18,"562,226","34,278"
derivatives,84,124,,208
financial investments - at amortised cost,100,52,186,"543,52,829"
financial investments - at fair value through other comprehensive income,"13,071",582,375,"14,028"
other financial assets,3,2,868,"2,783,51,5,702"
Reinsurance assets,237,"3,604",,"3,3,844"
PVIF,"4,945",7,"841,159","8,945"
Other assets and investment properties,"1,085",2,176,"49,3,310"
Total assets,"33,880",87,858,"1,406,123,144"
Liabilities under investment contracts designated at fair value,"1,139",4,753,"-,5,892"
Liabilities under insurance contracts,"28,437",67,884,"1,118,97,439"
Deferred tax,"5,229",1,275,"19,1,523"
Other liabilities,"2,212",2,172,"26,4,410"
Total liabilities,"32,017",76,84,"1,163,109,264"
Total equity,"1,862",11,774,"243,13,879"
Total liabilities and equity at 31 Dec 2019,"33,879",87,858,"1,406,123,143"
