Total,Of which:,UK,Hong Kong
Gross carrying/nominal amount,,ECL coverage,Gross carrying/nominal amount
Stage 1,Not collateralised,"61,820","7,266"
Stage 1,Fully collateralised,"89,319","18,535"
Stage 1,LTV ratio:,,"7,018"
Stage 1,LTV ratio:,,"9,349"
Stage 1,LTV ratio:,,"1,649"
Stage 1,LTV ratio:,,519
Stage 1,Partially collateralised (A):,,682
Stage 1,Partially collateralised (A):,collateral value on A,535
Stage 1,Total,,"157,702"
Stage 2,Not collateralised,"3,040","1,857"
Stage 2,Fully collateralised,"5,184","1,419"
Stage 2,LTV ratio:,,615
Stage 2,LTV ratio:,,712
Stage 2,LTV ratio:,,二
Stage 2,LTV ratio:,,76
Stage 2,Partially collateralised (B):,,296
Stage 2,Partially collateralised (B):,collateral value on B,
Stage 2,Total,,"8,724"
Stage 3,Not collateralised,315,66
Stage 3,Fully collateralised,557,404
Stage 3,LTV ratio:,,87
Stage 3,LTV ratio:,,90
Stage 3,LTV ratio:,,89
Stage 3,LTV ratio:,,291
Stage 3,Partially collateralised (C):,,507
Stage 3,Partially collateralised (C):,collateral value on C,
Stage 3,Total,,"1,645"
POCI,Not collateralised,,
POCI,Fully collateralised,,
POCI,LTV ratio:,,
POCI,LTV ratio:,,
POCI,LTV ratio:,,
POCI,LTV ratio:,,
POCI,Partially collateralised (D):,,
POCI,Partially collateralised (D):,collateral value on D,
POCI,Total,,
At 31 Dec 2019,"168,072",0.5,"31,032"
