Footnotes,2020,2020,2020,2020,2019,2018,,
Footnotes,$m,$m,$m,$m,$m,$m,,
Fees for HSBC Holdings'statutory audit 1,21.9,21.9,21.9,21.9,15.7 16.4,15.7 16.4,,
Fees for other services provided to HSBC,108.3,108.3,108.3,108.3,95.0 103.1,95.0 103.1,,
-audit of HSBC's subsidiaries,71.017.2,71.017.2,71.017.2,71.017.2,69.5,70.2,,
-audit-related assurance services 2,71.017.2,71.017.2,71.017.2,71.017.2,,,10.0,11.4
- other assurance services 3.4,,,20.1,20.1,12.2,13.5,,
- taxation compliance services,,,,1,1.6,1.4,,
taxation advisory services,,,,1,1,0.1,,
- other non-audit services 3,1,1,1,1,1.7,6.5,,
Yearended31Dec,130.2 110.7 119.5,130.2 110.7 119.5,130.2 110.7 119.5,130.2 110.7 119.5,130.2 110.7 119.5,130.2 110.7 119.5,,
