Director,Induction,Strategy and business briefings,Risk and control,Corporate governance,Global mandatory training,"ARCC, Chairs and Remco Forum",Subsidiary
Kathleen Casey,,。,：,：,：,：,。
Laura Cha,0,.,.,：,：,：,：
Henri de Castries,0,：,：,：,：,。,0
James Forese,:,.,.,：,,。,。
Steven Guggenheim,:,,,,,0,0
Irene Lee,0,：,,：,,·,.
José Antonio,0,.,,,:,：,0
Meade Kuribreña,0,.,,,:,：,0
Heidi Miller,0,.,,,:,：,·
Eileen Murray,:,：,,?,,0,。
David Nish,0,：,,.,,：,。
Noel Quinn,:,0,,,,：,0
Ewen Stevenson,0,：,,,,：,0
Jackson Tai,0,：,,,,：,。
Mark Tucker,0,：,,,,：,0
Pauline van der Meer Mohr,0,：,,：,,：,0
