Registered offices 111,Registered offices 111
,"PlotNo.312-878Mezzanine Floor,Bldg.of Sheikh Hamdan Bin Rashid,DubaiCreek,DubaiUnitedArabmira Level1,Building No.8,Gate VillageDubai International"
112,"FinancialCentre,POBox0444,UnitedArabEmrate"
113,"Unit101Level1,Gate VillageBuildingNo.8Dubai International Financial Centre (DlFC),Dubai, Unitedrab Emirates,POBox 506553"
114,"Office No.16 Owned by HSBC Bank Middle East Limited, Dubai Branch,Bur Dubai,Burj Khalifa,Dubai, United Arab"
115,"Emirates 885WestGeorgia StreetSuite300,VancouverBritish Columbia,Canada,V6C9"
116,"HSBC Tower,Level 21,188 Quay Street,Auckland,New Zealand,1010"
117,"21-23 YorckstraBe,Dusseldorf,Nordrhein-Westfalen, Germany，40476"
118,"TheCorporationTrust Incorporated,2405York Road,Suite"
119,"201,LuthervillmomarydUtdta HSBC House Esplanade,St.Helier,JerseyJE11"
120,"Quaides Bergues 9-17,Geneva,Switzerland,1201"
121,"1 Grand Canal Square,Grand Canal Harbour,Dublin 2,Ireland, D02P820"
122,"Esentepemah.BuyukdereCaddesi No.128,Istanbul,Turkey,"
,"34394 Quai des Bergues 9-17,Geneva,Switzerland,1201"
123 124,"HSBCHouseEsplanade,StHelierJersey,J1G"
125,"52/60MGRoad,Fort,MumbaiIndia400001"
126,"Block27A&B,Qianhai EnterpriseDreamParkNo.63 Qianwan Yi Road,Shenzhen-Hong Kong Cooperation Zone,Shenzhen,"
,"China,518052 Unit1GFThe Commerical Complex Madrigal Avenue,Ayala"
127,"Alabang Village,Muntinlupa City,Philippines，17"
128,"1 Mutual Place 107 Rivonia Road,Sandton,Sandton,Gauteng, South Africa,2196"
129,"13F333Keelung Road,Sec.1,Taipei,Taiwan10"
130 131,"Hansaalle3,Dusseldorf,Germany,40549 Kapelanka 42A,Krakow,Poland,30347"
132,"MB&H Corporate Services Ltd Mareva House,4 George Street,"
,"Nassau,Bahamas CTCorporation System 820 Bear Tavern Road,West Trenton,"
133,"New Jersey, United States Of America,08628"
134,"L22,OfficeTower2,TaikooHui381TianheRoad,Tianhe District,Guangzhou,Guangdong,China"
135,"HSBC Centre River Side,West Avenue,25B Raheja woods, Kalyaninagar,Pune,India,411006"
136,"Level 19,HSBC Building,Shanghai ifc8 CenturyAvenue Pudong,hanghaiina"
137,"Yorckstraβe21-23,Duesseldorf,Germany,40476"
138,"P.O.Box 309 Ugland House, Grand Cayman,Cayman Islands, KY1-1104"
139,"No.56Yu Rong Street,Macheng,China,438300"
140,"No.205LieShanRoadSuizhou,HubeiChina"
141,"Building 3, Yin Zuo Di Jing Wan Tianmen New City,Tianmen, Hubei Province, China"
142,"RM101,102& 106 Sunshine Fairview,Sunshine Garden, PedestrianWalkway，Pingjiang,China"
143,"Kings Meadow Chester Business Park, Chester, United"
144,"Kingdom,CH999FB WorldTrade Center1,Floor8-9JalanJenderal Sudirman"
,"Kavling29-31,Jakarta,Indonesia,920"
145,"5th Floor,World Trade Center 1,Jl. Jend.Sudirman Kav. 29-31,Jakarta,Indonesia,12920"
146,"75Park Lane,Croydon,Surrey,UnitedKingdom,C91"
147,"Unit B02 20/F No.168 Yin Cheng Zhong Road,Pilot Free Trade"
,"Zone,Shanghai,China,200120"
Registered offices 149,"Room1303-13062 Marine Center Main Tower,59 Linhai Rd"
,"Nanshan District,Shenzhen,China Woodbourne Hall,RoadTown,Tortola,British Virgin Islands,"
150,P.O. Box 3162
151 152,"43ruedeParis,SaintDenis,France,97400 RM2112,HSBC Building,Shanghai ifc No.8 Century Road,"
,"Pudong,Shanghai,China,200120"
153,"Esentepemah.uyukdereCaddesiNo.128,stanbul,urkey 34394"
154,"11 Dr. Roy's Drive POBox 694GT,Grand Cayman, Cayman Islands,KY1-1107"
155,"Lot6.05,Level6,KPMGTower8FirstAvenue,Bandar Utama, PetalingJaya,SelangorDarul Ehsan,Malaysia 18/F Unit 2101,2113,2113A,2115and 2116 of 21/F,HSBC"
156,"Building，8CenturyAvenue,China (Shanghai) PilotFreeTrade Zone,Shanghai,China,200120"
157,"3More LondonRiverside,London,UnitedKingdom,SE12AQ MUFG Fund Services (Bermuda) Limited The Belvedere"
158,"Building,69PitsBayRoad,Pembroke,Bermuda,H"
159,"c/o Hackwood Secretaries Limited One Silk Street,London, United Kingdom,EC2Y8HQ"
160,"All SaintsTriangleCaledonianroad,London,UnitedKingdom, N19UT"
161,"No.188,YinCheng Zhong Road China (Shanghai),Pilot Free Trade Zone,Shanghai, China"
162,"49/F The Lee Gardens,33 Hysan Avenue,Hong Kong"
163 164,"13-15 York Buildings,London, United Kingdom,WC2N 6JU FirstFloorTheBower207OldStreet,England,Uited"
,"Kingdom,EC1V9NR"
165,"Unit No.208,2ndFloor，KanchenjungaBulding18 BarakhambaRoad,ewDelhi,India,001"
166,"65 Gresham Street 6th Floor,London,United Kingdom,EC2V 7NQ"
167 168,"PO 4978, Kigali Rwanda Plot LR No.487 Dagoretti / Ruthimitu,P.O.Box14362,"
