,Footnotes,2020 $m,2019,2018 $m,2017 $m,2016 $m,
,Footnotes,2020 $m,2019,2018 $m,2017 $m,2016 $m,$m
Net interest income,,"27,578","30,462","30,489","28,176","29,813",
Net fee income,,"11,874",12.023,"12,620 9,531","12,811","12,777",
"Net income from financial instruments held for trading or managed on a fair value basis Net income/(expense) from assets and liabilities of insurance businesses,including",,"9,582","10,231",,"8,426","7,521",
"related derivatives,measured at fair value through profit or loss",,"2,081","3,478","(1,488)","2,836","1,262",
Change in fair value of designated debt and related derivatives Changes in fair value of other financialinstruments mandatorily measured at fair value,，,231,90,（97),155,"(1,997)",
through profit or loss,,455,812,695,N/A,N/A,
Gains less losses from financial investments,,653,335,218,"1,150","1,385",
Net insurance premium income,,"10,093","10,636","10,659","9,779","9,951",
Other operating income/(exense),,527,"2,957",960,443,(876),
Total operating income,"63,074",,"71,024","63,587","63,776","59,836",
Net insurance claims and benefits paid and movement in liabilities to policyholders Net operating income before change in expected credit losses and other,"(12,645)",,"(14,926)","（9,807)","(12,331)","(11,870)",
credit impairment charges/Loan impairment charges and other credit risk provisions,"2 50,429",,,,,,
Change in expected credit losses and other credit impairment charges,"(8,817)",,"56,098","53,780","51,445","47,966",
Loan impairment charges and other credit risk provisions,,N/A,"(2,756)","(1,767)",N/A,N/A,
Net operating income,"41,612",,"N/A 53,342",N/A,"(1,769)","(3,400)",
Total operating expenses excluding impairment of goodwilland other intangible assets,"(33,044)",,,"52,013","49,676","44,566",
Impairment of goodwilland other intangible assets,"(1,388)",,"(34,955)","(34,622)","(34,849)","(36,416)",
Operating profit,"7,180",,"(7,394) 10,993","（37) 17,354",（35),"(3,392)",
Share of profit in associates and joint ventures,"1,597",,,"2,536","14,792",4758,
Profit before tax,"8,777",,"2,354","19,890","2,375","2,354",
Tax expense,,,"13,347",,"17,167","7,112",
Profit for the year,"(2,678)",,"(4,639) 8,708","(4,865)","(5,288)","(3,666)",
Attributable to:,"6,099",,,"15,025","11,879","3,446",
-ordinary shareholders of the parent company,,"3,898","5,969","12,608","9,683",,
-preference shareholders of the parent company,,90,90,90,90,"1,299 90",
-other equity holders,"1,241",,"1,324","1,029","1,025","1,090",
-non-controlling interests,,870,"1,325","1,298","1,081",967,
Profitfor the year,,"6,099",8.708,"15,025","11,879","3,446",
