Transactions and balances during the year with subsidiaries,2020,Highest balance during the year,Balance at 31 Dec,2019,Highest balance during the year,Balance at 31 Dec
Assets,Cash and balances with HSBC undertakings,"5,476","2,913","5,029","2,382","2,382"
Assets,Financial assets with HSBC undertakings designated and otherwise mandatorily measured at fair value,"65,253","65,253","61,964","61,964","61,964"
Assets,Derivatives,"5,784","4,698","3,902","2,002","2,002"
Assets,Loans and advances to HSBC undertakings,"10,785","10,443","43,436","10,218","10,218"
Assets,"Prepayments, accrued income and other assets","1,838","1,363",655,480,480
Assets,Investments in subsidiaries,"161,546","160,660","163,258","161,473","161,473"
Assets,Total related party assets at 31 Dec,"250,682","245,330","278,244","238,519","238,519"
Liabilities,Amounts owed to HSBC undertakings,581,330,"1,553",464,464
Liabilities,Derivatives,"3,376","3,060","2,183","2,021","2,021"
Liabilities,"Accruals, deferred income and other liabilities","2,737","1,936",—,—,—
Liabilities,Subordinated liabilities,892,892,892,892,892
Liabilities,Total related party liabilities at 31 Dec,"7,586","6,218","4,628","3,377","3,377"
Guarantees and commitments,"15,661","13,787","11,541","11,061","11,061","11,061"
