Interest rate,Foreign currency,,,
Fair value gains/(losses),,Cash flow hedging reserve at 1 Jan 2020,514,-630
Fair value (gains)/losses reclassified from the cash flow hedge reserve to the income statement in respect of:,,Hedged items that have affected profit or loss,-107,822
,,Income taxes,-79,371
,,Others,-495,-37
Cash flow hedging reserve at 31 Dec 2020,,Cash flow hedging reserve at 1 Jan 2019,193,341
Fair value gains/(losses),,Cash flow hedging reserve at 1 Jan 2019,99,-371
Fair value (gains)/losses reclassified from the cash flow hedge reserve to the income statement in respect of:,,Hedged items that has affected profit or loss,53,4
,,Income taxes,-9,3
,,Others,-204,-205
Cash flow hedging reserve at 31 Dec 2019,,Cash flow hedging reserve at 1 Jan 2019,204,-205
