Corporate and commercial,Gross carrying amount,Of which: real estate¹,Non-bank financial institutions,Total,Corporate and commercial,Of which: real estate¹,Non-bank financial institutions,Total
Europe,179104,26505,22176,201280,-3958,-3918,-632,-4103
UK,128933,18890,16165,145098,-2958,-574,-147,-3105
France,32278,5740,3557,35835,-645,-40,-26,-671
Germany,8309,364,1156,9465,-125,-,3,-128
Switzerland,1489,576,513,2002,-14,-,-14,
other,8095,935,785,8880,-176,-18,-9,-185
Asia,257942,82359,31637,289579,-2766,-162,-38,-2804
Hong Kong,162039,64216,18406,180445,-1180,-83,-15,-1195
Australia,9769,1813,1348,11117,-95,-2,-,-95
India,7223,1951,3075,10298,-90,-18,-4,-94
Indonesia,3699,81,246,3945,-229,-2,-,0
mainland China,28443,6251,7128,35571,-187,-23,-18,-205
Malaysia,7228,1968,123,7351,-86,-27,-,-86
Singapore,18859,4637,362,19221,-782,-2,-,-782
Taiwan,6115,50,60,6175,0,-,-,-0
other,14567,1392,889,15456,-117,-5,-1,-118
Middle East and North Africa (excluding Saudi Arabia),24625,1839,379,25004,-1512,-187,-9,-1521
Egypt,2162,37,13,2175,-157,-7,-3,-160
UAE,13485,1690,170,13655,-1019,-176,-2,-1021
other,8978,112,196,9174,-336,-4,-4,-340
North America,53386,14491,9292,62678,-637,-73,-23,-660
US,30425,7722,7708,38133,-367,-38,-3,-370
Canada,22361,6645,1440,23801,-243,-27,-9,-252
other,600,124,144,744,-27,-8,-11,-38
Latin America,12031,1833,1096,13127,-661,-113,-10,-671
Mexico,10244,1832,1083,11327,-589,-113,-10,-599
other,1787,1,13,1800,-72,-,-,-72
At 31 Dec 2020,527088,127027,64580,591668,-9494,-1167,-265,-9759
Corporate and commercial,Gross carrying amount,Of which: real estate¹,Non-bank financial institutions,Total,Corporate and commercial,Of which: real estate¹,Non-bank financial institutions,Total
Europe,175215,26587,26497,201712,-2304,-354,-81,-2385
UK,126760,18941,18545,145305,-1629,-303,-26,-1655
France,27885,5643,4899,32784,-423,-28,-52,-475
Germany,9771,390,1743,11514,-60,-,-60,
Switzerland,1535,554,406,1941,-1,-,-1,
other,9264,1059,904,10168,-191,-23,-3,-194
Asia,267709,85556,32157,299866,-1449,-94,-52,-1501
Hong Kong,168380,67856,19776,188156,-750,-51,-40,-790
Australia,11428,1993,1743,13171,-70,-3,-,-70
India,6657,1565,2622,9279,-49,-3,-1,-50
Indonesia,4346,63,353,4699,-222,-1,-2,-224
mainland China,26594,5304,5911,32505,-198,-29,-8,-206
Malaysia,6914,1597,230,7144,-40,-2,-,-40
Singapore,19986,5235,618,20604,-60,-2,-,-60
Taiwan,6384,28,82,6466,-2,-,-,-2
other,17020,1915,822,17842,-58,-3,-1,-59
Middle East and North Africa (excluding Saudi Arabia),23447,1816,288,23735,-1087,-181,-13,-1100
Egypt,1889,35,16,1905,-132,-,-3,-135
UAE,13697,1695,122,13819,-683,-179,-7,-690
other,7861,86,150,8011,-272,-2,-3,-275
North America,59680,15128,10078,69758,-274,-43,-11,-285
US,34477,8282,8975,43452,-116,-14,-2,-118
Canada,24427,6556,979,25406,-136,-10,-4,-140
other,776,290,124,900,-22,-19,-5,-27
Latin America,14448,1665,1685,16133,-324,-8,-3,-327
Mexico,12352,1664,1625,13977,-221,-8,-3,-224
other,2096,1,60,2156,-103,-,-,-103
At 31 Dec 2019,540499,130752,70705,611204,-5438,-680,-160,-5598
