Non-credit impaired,Stage 1,Stage 2,Stage 3,POCI,Total
Gross exposure,$m,$m,$m,$m,"$m,$m"
Allowance/provision for ECL,$m,$m,$m,$m,"$m,$m"
At 1 Jan 2019,"1,502,976","(1,449)","95,104","(2,278)","14,232,(5,135),334,(194),1,612,646,(9,056)"
Transfers of financial instruments:,,,,,",,,,,,"
- transfers from stage 1 to stage 2,"(36,244)",(543),"31,063","1,134","5,181,(591),-, -, -,-"
- transfers from stage 2 to stage 1,"108,434",487,"73,086","1,044","-,-,-,-,-,-"
- transfers to stage 3,"1,284",59,"5,022",665,"6,306,(724),-, -, -,-"
- transfers from stage 3,388,(45),737,(88),"(1,125),133,-,-,-,-"
Net remeasurement of ECL arising from transfer of stage,,669,-,(676),"-,(114),-, -, -,(121)"
New financial assets originated or purchased,"504,064",(534),-,-,",135,(21),504,199,(555)"
Assets derecognised (including final repayments),"(352,961)",112,"(19,909)",553,"(2,712),656,(26),8,(375,608),1,329"
Changes to risk parameters – further lending/repayment,"(72,239)",291,"(2,560)",67,"402,(6),28,12,(74,369),364"
Changes to risk parameters – credit quality,,2,-,"(1,208)","-,(2,704),-, (51),-,(3,961)"
Changes to models used for ECL calculation,,(6),-,4,"-,14,-,-,-,12"
Assets written off,,,,,"(2,657),2,657,(140),140,(2,797),2,797"
Credit-related modifications that resulted in derecognition,,,,,"(268),125,-,-,-,125"
Foreign exchange,"16,838",(9),"1,201",(40),"160,(31),1,1,18,200,(79)"
Others,(821),"3,652",3,,"(3),8,13,6,(159),20"
At 31 Dec 2019,"1,561,613","(1,464)","105,551","(2,441)","14,335,(5,121),345,(99),1,681,844,(9,125)"
ECL income statement change for the period,,534,-,"(2,154)","-,(52),-, -, -,(2,932)"
Recoveries,,,,,"-,-,-,361,-,-"
Others,,,,,"-,-,-,-,-,(20)"
Total ECL income statement change for the period,,-,-,-,"-,-,-,-,-,(2,591)"
